resource,service,total_props,required_props,required_names
AWS::KafkaConnect::Connector,KafkaConnect,14,9,"KafkaCluster, KafkaConnectVersion, ConnectorConfiguration, Capacity, KafkaClusterEncryptionInTransit"
AWS::LicenseManager::License,LicenseManager,12,9,"ProductSKU, ConsumptionConfiguration, Validity, ProductName, Issuer"
AWS::MediaLive::CloudWatchAlarmTemplate,MediaLive,13,9,"TargetResourceType, ComparisonOperator, TreatMissingData, Period, EvaluationPeriods"
AWS::CUR::ReportDefinition,CUR,13,9,"Compression, RefreshClosedReports, ReportVersioning, S3Prefix, ReportName"
AWS::ServiceCatalog::StackSetConstraint,ServiceCatalog,9,8,"Description, StackInstanceControl, PortfolioId, ProductId, RegionList"
AWS::EMR::Studio,EMR,17,8,"WorkspaceSecurityGroupId, DefaultS3Location, SubnetIds, Name, ServiceRole"
AWS::EVS::Environment,EVS,14,8,"LicenseInfo, SiteId, ConnectivityInfo, VpcId, TermsAccepted"
AWS::DataZone::SubscriptionTarget,DataZone,9,7,"Type, EnvironmentIdentifier, SubscriptionTargetConfig, ApplicableAssetTypes, AuthorizedPrincipals"
AWS::OpsWorks::Layer,OpsWorks,19,7,"AutoAssignElasticIps, AutoAssignPublicIps, EnableAutoHealing, Name, Shortname"
AWS::Budgets::BudgetsAction,Budgets,9,7,"ExecutionRoleArn, ActionType, NotificationType, ActionThreshold, Definition"
AWS::CloudFormation::GuardHook,CloudFormation,10,6,"RuleLocation, HookStatus, Alias, TargetOperations, ExecutionRole"
AWS::Lightsail::Alarm,Lightsail,11,6,"MetricName, ComparisonOperator, AlarmName, MonitoredResourceName, EvaluationPeriods"
AWS::CloudFormation::LambdaHook,CloudFormation,8,6,"HookStatus, Alias, TargetOperations, LambdaFunction, ExecutionRole"
AWS::Synthetics::Canary,Synthetics,18,6,"RuntimeVersion, Code, Name, ExecutionRoleArn, Schedule"
AWS::EC2::TrafficMirrorFilterRule,EC2,11,6,"RuleAction, SourceCidrBlock, RuleNumber, DestinationCidrBlock, TrafficMirrorFilterId"
AWS::Connect::Rule,Connect,7,6,"Function, TriggerEventSource, Actions, InstanceArn, Name"
AWS::CodeStarConnections::SyncConfiguration,CodeStarConnections,8,6,"ConfigFile, ResourceName, Branch, SyncType, RepositoryLinkId"
AWS::AppStream::Application,AppStream,12,6,"Platforms, AppBlockArn, InstanceFamilies, LaunchPath, Name"
AWS::SES::CustomVerificationEmailTemplate,SES,7,6,"FromEmailAddress, TemplateContent, SuccessRedirectionURL, TemplateName, FailureRedirectionURL"
AWS::SSO::Assignment,SSO,6,6,"PrincipalId, InstanceArn, TargetType, PermissionSetArn, PrincipalType"
AWS::DataZone::EnvironmentProfile,DataZone,8,6,"ProjectIdentifier, AwsAccountRegion, AwsAccountId, EnvironmentBlueprintIdentifier, Name"
