row_number,prompt,ground_truth_path,final_template_path,success,failure_reason,error_message,failed_at_stage,total_iterations,highest_feedback_level,coverage_percentage,accuracy_percentage
0,We need a CloudFormation template that creates an AWS SQS queue with basic configuration.,../Data/groud_truth/template/sqs_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_0_update_1_template_20260302_211843.yaml,True,,,,1,,100.0,100.0
1,"We need a CloudFormation template that creates an AWS SNS with notification sending to email ""test@test.com"".",../Data/groud_truth/template/sns_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_1_update_1_template_20260302_211927.yaml,True,,,,1,,100.0,50.0
2,We need a CloudFormation template that creates an Amazon S3 bucket with defaults,../Data/groud_truth/template/s3_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_2_update_1_template_20260302_211946.yaml,True,,,,1,,100.0,100.0
3,We need a CloudFormation template that creates an Amazon S3 bucket for website hosting and with a DeletionPolicy,../Data/groud_truth/template/s3_webhost_and_deletion_policy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_3_update_5_template_20260302_212055.yaml,True,,,,5,moderate,100.0,100.0
4,We need a CloudFormation template that creates an EC2 instance with the latest Amazon Linux 2 AMI,../Data/groud_truth/template/ec2_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_4_update_12_template_20260302_213120.yaml,False,max_stage_error_attempts_exceeded,An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName] must have values,deployment,12,moderate,,
5,"We need a CloudFormation template that creates a DynamoDB table about ArtistId, Concert, and TicketSales.",../Data/groud_truth/template/DynamoDB_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_5_update_4_template_20260302_213333.yaml,True,,,,4,moderate,100.0,100.0
6,We need a CloudFormation template that creates an EC2 instance with Security Group that is able to deploy on AWS successfully.,../Data/groud_truth/template/EC2InstanceWithSecurityGroupSample.yaml,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_6_update_11_template_20260302_214031.yaml,False,max_stage_error_attempts_exceeded,An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName] must have values,deployment,11,moderate,,
7,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`) with secure remote management capabilities using AWS Systems Manager (SSM). The solution uses region-specific AMIs for compatibility and attaches a minimal security group to the instance. ,../Data/groud_truth/template/virtualmachine.yaml,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_7_update_11_template_20260302_214605.yaml,False,max_stage_error_attempts_exceeded,An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName] must have values,deployment,11,moderate,,
8,"We need a CloudFormation template that creates a CloudWatch Dashboard with four CloudWatch Logs Insights log widgets that query VPC flow logs for NAT Gateway. The solution should iclude widgets for top source IPs by outbound traffic and rejected connections, using CloudWatch Logs Insights queries to filter and aggregate NAT Gateway-specific data (`interfaceId like 'eni-'`).  ",../Data/groud_truth/template/CloudWatch_Dashboard_NAT_FlowLogs.yaml,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_8_update_4_template_20260302_214939.yaml,True,,,,4,moderate,100.0,100.0
9,We need a CloudFormation template that creates an encrypted One Zone file system in the us-east-1a Availability Zone.,../Data/groud_truth/template/EFS_encrypted_one_zone.yaml,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_9_update_4_template_20260302_215307.yaml,True,,,,4,moderate,33.33333333333333,100.0
10,We need a CloudFormation template that creates an EC2 instance with ephemeral drives attached using EC2 block device mappings that is able to deploy on AWS successfully. This template should automatically fetch the latest Amazon Linux 2 AMI via SSM Parameter Store and create an SSH key pair for secure access. Note the template should deploy the EC2 in pre-exist default vpc/subnet.,../Data/groud_truth/template/EC2_Instance_With_Ephemeral_Drives.yaml,llm_generated_data/template/iterative/deepseek/openrouter/arcee-ai/trinity-large-preview:free/row_10_update_4_template_20260302_215442.yaml,True,,,,4,moderate,100.0,100.0
