row_index,row_number,matched,difficulty_level,total_required_resources,total_generated_resources,correct_resources,missing_resources,extra_resources,coverage_pct,accuracy_pct,intent_coverage_pct,intent_correct,intent_needed,template_empty,parse_error,gt_missing,ground_truth_path,correct_resource_types,missing_resource_types,extra_resource_types,generated_resource_types,prompt
0,1,True,1,1,3,1,0,2,100.0,33.33,100.0,1,1,False,False,False,Data\groud_truth\template\sns_easy.yaml,AWS::SNS::Topic,,AWS::KMS::Alias;AWS::KMS::Key,AWS::KMS::Key;AWS::KMS::Alias;AWS::SNS::Topic,"We need a CloudFormation template that creates an AWS SNS with notification sending to email ""test@test.com""."
1,7,True,3,6,16,6,0,10,100.0,37.5,100.0,6,6,False,False,False,Data\groud_truth\template\virtualmachine.yaml,AWS::IAM::Role;AWS::EC2::Subnet;AWS::IAM::InstanceProfile;AWS::EC2::VPC;AWS::EC2::Instance;AWS::EC2::SecurityGroup,,AWS::EC2::VPCGatewayAttachment;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::RouteTable;AWS::EC2::InternetGateway;AWS::EC2::LaunchTemplate,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::LaunchTemplate;AWS::EC2::Instance,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`) with secure remote management capabilities using AWS Systems Manager (SSM). The solution uses region-specific AMIs for compatibility and attaches a minimal security group to the instance. 
2,14,True,4,9,13,9,0,4,100.0,69.23,100.0,9,9,False,False,False,Data\groud_truth\template\SingleENIwithMultipleEIPs.yaml,AWS::EC2::EIPAssociation;AWS::EC2::EIPAssociation;AWS::EC2::Subnet;AWS::EC2::NetworkInterface;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::EC2::EIP;AWS::EC2::EIP;AWS::EC2::InternetGateway,,AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::EC2::RouteTable,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::EC2::NetworkInterface;AWS::EC2::EIP;AWS::EC2::EIP;AWS::EC2::EIPAssociation;AWS::EC2::EIPAssociation,We need a CloudFormation template that creates a single Elastic Network Interface (ENI) with two Elastic IPs (EIPs) and secondary private IPs which enables a single EC2 instance (not explicitly defined) to handle multiple public-facing IP addresses through one network interface.
3,20,True,5,14,8,1,13,7,7.14,12.5,33.33,1,3,False,False,False,Data\groud_truth\template\CloudWatch_Dashboard_ClientVPN.yaml,AWS::CloudWatch::Dashboard,AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition,AWS::ACMPCA::Certificate;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::VPC;AWS::EC2::SecurityGroup;AWS::Logs::LogGroup;AWS::ACMPCA::CertificateAuthority,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::SecurityGroup;AWS::ACMPCA::CertificateAuthority;AWS::ACMPCA::Certificate;AWS::Logs::LogGroup;AWS::CloudWatch::Dashboard,"We need a CloudFormation template that creates a CloudWatch Dashboard and a set of CloudWatch Logs Insights queries to monitor and analyze AWS Client VPN usage patterns. The solution should aggregate metrics such as connection durations, data transfer volumes (ingress/egress), and user activity across different authentication methods (AD/SAML, Mutual Auth, and Mixed Auth). The template must organize queries into a logical folder structure and display results in a centralized dashboard with tables showing endpoint-specific usage, distinct user statistics, and authentication-type breakdowns."
4,30,True,5,25,34,25,0,9,100.0,73.53,100.0,25,25,False,False,False,Data\groud_truth\template\efs-provisioned.yaml,AWS::IAM::Role;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EFS::FileSystem;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Route;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::IAM::InstanceProfile;AWS::EC2::VPC;AWS::EC2::Instance;AWS::EC2::Instance;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EC2::RouteTable;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::EC2::NetworkAcl;AWS::EFS::MountTarget;AWS::EFS::MountTarget;AWS::EC2::InternetGateway,,AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::SecurityGroup;AWS::EC2::LaunchTemplate,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::NetworkAcl;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EFS::FileSystem;AWS::EFS::MountTarget;AWS::EFS::MountTarget;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::LaunchTemplate;AWS::EC2::Instance;AWS::EC2::Instance;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm,"We need a CloudFormation template that creates a EFS file system with cross-AZ EC2 instances and performance monitoring which provides shared storage for applications requiring multi-AZ accessibility. The solution should also launch two EC2 instances in separate AZs with IAM roles granting EFS access and SSM permissions, automating EFS mounting via user data scripts that retry until mount targets are available. Configure CloudWatch alarms to monitor EFS I/O limits and throughput utilization, triggering alerts at 95% I/O limit and 80% throughput thresholds. Note to establish a VPC with public subnets, internet gateway, and network ACLs to support EFS and EC2 connectivity while enforcing security group rules for controlled NFS access. Use cfn-signal and CreationPolicies to ensure instances successfully mount EFS before stack completion, avoiding partial deployments.  "
5,31,True,5,31,40,26,5,14,83.87,65.0,83.87,26,31,False,False,False,Data\groud_truth\template\codedeploy.yaml,AWS::IAM::Role;AWS::IAM::Role;AWS::AutoScaling::AutoScalingGroup;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::SSM::Parameter;AWS::ElasticLoadBalancingV2::TargetGroup;AWS::EC2::VPCGatewayAttachment;AWS::ElasticLoadBalancingV2::LoadBalancer;AWS::RDS::DBSubnetGroup;AWS::RDS::DBInstance;AWS::EC2::VPC;AWS::CodeDeploy::Application;AWS::EC2::InternetGateway;AWS::EC2::LaunchTemplate;AWS::CodeDeploy::DeploymentGroup;AWS::EC2::Route;AWS::S3::Bucket;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::ElasticLoadBalancingV2::Listener;AWS::IAM::InstanceProfile;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EC2::RouteTable,AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAcl;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SubnetNetworkAclAssociation,AWS::IAM::Role;AWS::KMS::Key;AWS::CertificateManager::Certificate;AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::KMS::Alias;Custom::SelfSignedCertificate;AWS::SecretsManager::Secret;AWS::CloudFront::Distribution;AWS::WAFv2::WebACL;AWS::AutoScaling::ScalingPolicy;AWS::Lambda::Function,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::RDS::DBSubnetGroup;AWS::SecretsManager::Secret;AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::KMS::Key;AWS::KMS::Alias;AWS::S3::Bucket;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::IAM::Role;AWS::IAM::Role;AWS::Lambda::Function;Custom::SelfSignedCertificate;AWS::CertificateManager::Certificate;AWS::WAFv2::WebACL;AWS::EC2::LaunchTemplate;AWS::AutoScaling::AutoScalingGroup;AWS::ElasticLoadBalancingV2::LoadBalancer;AWS::ElasticLoadBalancingV2::TargetGroup;AWS::ElasticLoadBalancingV2::Listener;AWS::AutoScaling::ScalingPolicy;AWS::RDS::DBInstance;AWS::CloudFront::Distribution;AWS::CodeDeploy::Application;AWS::CodeDeploy::DeploymentGroup,"We need a CloudFormation template that creates an automated deployment pipeline for the Etherpad application using AWS CodeDeploy. The template should deploy Etherpad on EC2 instances within an Auto Scaling group across two subnets, fronted by an internet-facing Application Load Balancer for traffic distribution. It must provision a MySQL RDS instance for database storage and integrate AWS Systems Manager (SSM) for secure parameter storage. The solution should automate instance provisioning with a launch template that installs dependencies (Node.js, CodeDeploy agent) and signals CloudFormation upon readiness. An S3 bucket stores deployment artifacts, while CodeDeploy resources manage application updates. "
6,34,True,4,9,11,7,2,4,77.78,63.64,77.78,7,9,False,False,False,Data\groud_truth\template\RDS_PIOPS.yaml,AWS::SecretsManager::Secret;AWS::RDS::DBSubnetGroup;AWS::RDS::DBInstance;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::VPC;AWS::EC2::SecurityGroup,AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment,AWS::RDS::DBParameterGroup;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::RouteTable,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::RDS::DBSubnetGroup;AWS::EC2::SecurityGroup;AWS::RDS::DBParameterGroup;AWS::SecretsManager::Secret;AWS::RDS::DBInstance,"We need a CloudFormation template that creates a MySQL RDS instance (db.r5.large) with Provisioned IOPS (io1 storage) within a VPC. The solution should deploy the database across two private subnets in different Availability Zones using a DB subnet group, with network isolation via a dedicated VPC and a security group restricting access to port 3306 for internal VPC traffic. "
7,50,True,5,26,40,20,6,20,76.92,50.0,,0,0,False,False,False,Data\groud_truth\template\url2png-loadtest.yaml,AWS::IAM::Role;AWS::AutoScaling::AutoScalingGroup;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::LaunchTemplate;AWS::EC2::Route;AWS::S3::Bucket;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::IAM::InstanceProfile;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::EC2::SecurityGroup;AWS::EC2::RouteTable;AWS::SQS::Queue;AWS::AutoScaling::ScalingPolicy;AWS::AutoScaling::ScalingPolicy,AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAcl;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::Instance,AWS::IAM::Role;AWS::AutoScaling::AutoScalingGroup;AWS::KMS::Key;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::KMS::Alias;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::LaunchTemplate;AWS::S3::BucketPolicy;AWS::EC2::Route;AWS::EC2::NatGateway;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::IAM::InstanceProfile;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EC2::RouteTable;AWS::SQS::Queue;AWS::EC2::EIP,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::RouteTable;AWS::EC2::EIP;AWS::EC2::NatGateway;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::KMS::Key;AWS::KMS::Alias;AWS::SQS::Queue;AWS::SQS::Queue;AWS::S3::Bucket;AWS::S3::BucketPolicy;AWS::IAM::Role;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::IAM::InstanceProfile;AWS::EC2::LaunchTemplate;AWS::AutoScaling::AutoScalingGroup;AWS::AutoScaling::ScalingPolicy;AWS::AutoScaling::ScalingPolicy;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::EC2::LaunchTemplate;AWS::AutoScaling::AutoScalingGroup,"We need a CloudFormation template that creates a scalable URL-to-PNG screenshot service with automated load testing and S3/SQS integration, designed to dynamically process website screenshot requests and store results in a secure, distributed environment. The template should deploy an Auto Scaling group of EC2 instances (workers) across two Availability Zones, configured to consume messages from an SQS queue and generate screenshots using Chromium, saving outputs to an S3 bucket. It must include a load test instance that populates the queue with sample URL requests to simulate traffic, while CloudWatch alarms trigger scaling policies based on queue depth (scaling up/down between 1-2 instances). "
8,59,True,2,3,6,3,0,3,100.0,50.0,100.0,3,3,False,False,False,Data\groud_truth\template\kinesis-data-stream.yaml,AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::Kinesis::Stream,,AWS::SNS::Topic;AWS::KMS::Key;AWS::SNS::Subscription,AWS::Kinesis::Stream;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::KMS::Key;AWS::SNS::Topic;AWS::SNS::Subscription,We need a CloudFormation template that creates an Amazon Kinesis Data Stream for real-time data ingestion and processing and alerts for read and write throughput exceeding.
9,78,True,1,1,1,1,0,0,100.0,100.0,100.0,1,1,False,False,False,Data\groud_truth\template\ipam.yaml,AWS::EC2::IPAM,,,AWS::EC2::IPAM,"We need a CloudFormation template that creates an AWS EC2 IP Address Manager (IPAM) to manage IP address allocation. Note to export critical identifiers like the IPAM ARN, ID, and default public/private scope IDs as stack outputs for cross-stack references (e.g., linking to VPCs or subnet configurations in other templates)."
