row_number,prompt,ground_truth_path,final_template_path,success,failure_reason,error_message,failed_at_stage,total_iterations,highest_feedback_level,coverage_percentage,accuracy_percentage
0,We need create an AWS SQS queue with basic configuration.,groud_truth\template\sqs_easy.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_0_update_1_template_20250405_134758.yaml,TRUE,,,,1,,100,50
1,"We need create an AWS SNS with notification sending to email ""test@test.com"".",groud_truth\template\sns_easy.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_1_update_1_template_20250406_113524.yaml,TRUE,,,,1,,100,50
2,We need creating an Amazon S3 bucket with defaults,groud_truth\template\s3_easy.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_2_update_1_template_20250406_113549.yaml,TRUE,,,,1,,100,100
3,We need to create an Amazon S3 bucket for website hosting and with a DeletionPolicy,groud_truth\template\s3_webhost_and_deletion_policy.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_3_update_6_template_20250406_113756.yaml,TRUE,,,,6,moderate,50,100
4,We need to create an EC2 instance with the latest Amazon Linux 2 AMI,groud_truth\template\ec2_easy.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_4_update_3_template_20250406_113913.yaml,TRUE,,,,3,simple,100,50
5,"We need to create a DynamoDB table about ArtistId, Concert, and TicketSales.",groud_truth\template\DynamoDB_easy.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_5_update_3_template_20250406_114046.yaml,TRUE,,,,3,simple,100,100
6,We need a CloudFormation template of an EC2 instance with Security Group that is able to deploy on AWS successfully.,groud_truth\template\EC2InstanceWithSecurityGroupSample.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_6_update_4_template_20250406_114505.yaml,TRUE,,,,4,simple,100,100
7,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`) with secure remote management capabilities using AWS Systems Manager (SSM). The solution uses region-specific AMIs for compatibility and attaches a minimal security group to the instance. ,groud_truth\template\virtualmachine.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_7_update_7_template_20250422_070632.yaml,TRUE,,,,7,moderate,100,54.54545455
8,"We need a CloudFormation template that creates a CloudWatch Dashboard with four CloudWatch Logs Insights log widgets that query VPC flow logs for NAT Gateway. The solution should iclude widgets for top source IPs by outbound traffic and rejected connections, using CloudWatch Logs Insights queries to filter and aggregate NAT Gateway-specific data (`interfaceId like 'eni-'`).  ",groud_truth\template\CloudWatch_Dashboard_NAT_FlowLogs.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_8_update_3_template_20250422_071030.yaml,TRUE,,,,3,simple,100,100
9,We need to create an encrypted One Zone file system in the us-east-1a Availability Zone.,groud_truth\template\EFS_encrypted_one_zone.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_9_update_7_template_20250405_135108.yaml,TRUE,,,,7,moderate,83.33333333,71.42857143
10,We need a CloudFormation template of an EC2 instance with ephemeral drives attached using EC2 block device mappings that is able to deploy on AWS successfully. This template should automatically fetch the latest Amazon Linux 2 AMI via SSM Parameter Store and create an SSH key pair for secure access. Note the template should deploy the EC2 in pre-exist default vpc/subnet.,groud_truth\template\EC2_Instance_With_Ephemeral_Drives.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_10_update_4_template_20250422_082439.yaml,TRUE,,,,4,moderate,100,100
11,We need a CloudFormation template that creates a DynamoDB table for mobile notifications reporting. The DynamoDB table should has a global secondary index on `type` and `sentTime` for time-based queries. Configure pay-per-request billing for cost efficiency with unpredictable workloads and TTL auto-expiry for automatic cleanup of stale data. ,groud_truth\template\dynamo.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_11_update_1_template_20250422_082528.yaml,TRUE,,,,1,,100,100
12,We need a CloudFormation template of an EC2 instance with an Elastic IP address and SSH access controls associated that is able to deploy on AWS successfully. Note the EC2 instance can just create in the default vpc/subnet.,groud_truth\template\EIP_With_Association.yaml,llm_generated_data/template/iterative/claude/claude-3-7-sonnet-20250219/row_12_update_5_template_20250422_082745.yaml,TRUE,,,,5,moderate,100,100
