timestamp,llm_type,llm_model,template_path,row_number,iteration_number,error_stage,stage_attempt_count,next_feedback_level,error_message,resource_name
28/4/2025 19:43,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_3_update_1_template_20250428_194016.yaml,3,1,syntax_validation,0,simple,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,WebsiteBucket
28/4/2025 19:45,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_3_update_2_template_20250428_194323.yaml,3,2,syntax_validation,1,simple,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,WebsiteBucket
28/4/2025 19:45,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_3_update_2_template_20250428_194323.yaml,3,2,syntax_validation,1,simple,A bucket with 'AccessControl' set should also have at least one 'OwnershipControl' configured,WebsiteBucket
28/4/2025 19:45,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_3_update_2_template_20250428_194323.yaml,3,2,syntax_validation,1,simple,'AccessControl' is a legacy property. Consider using 'AWS::S3::BucketPolicy' instead,WebsiteBucket
28/4/2025 19:46,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_3_update_3_template_20250428_194543.yaml,3,3,syntax_validation,2,moderate,Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion,WebsiteBucket
2/5/2025 15:51,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_4_update_1_template_20250502_154910.yaml,4,1,syntax_validation,0,simple,'Fn::Sub' isn't needed because there are no variables,EC2Instance
2/5/2025 15:52,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_4_update_2_template_20250502_155132.yaml,4,2,syntax_validation,1,simple,'Fn::Sub' isn't needed because there are no variables,EC2Instance
2/5/2025 15:53,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_4_update_3_template_20250502_155251.yaml,4,3,yaml_validation,0,simple,"Line 21: too many spaces inside brackets
Line 21: too many spaces inside brackets
Line 21: too many spaces inside brackets
Line 21: too many spaces inside brackets
Line 41: too many spaces inside brackets
Line 41: too many spaces inside brackets",
2/5/2025 15:54,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_4_update_4_template_20250502_155343.yaml,4,4,syntax_validation,2,moderate,'Fn::Sub' isn't needed because there are no variables,EC2Instance
2/5/2025 15:56,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_6_update_1_template_20250502_155543.yaml,6,1,syntax_validation,0,simple,'VpcId' is a dependency of 'SecurityGroupEgress',SecurityGroup
2/5/2025 15:58,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_6_update_2_template_20250502_155656.yaml,6,2,syntax_validation,1,simple,'VpcId' is a dependency of 'SecurityGroupEgress',SecurityGroup
2/5/2025 16:00,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_6_update_3_template_20250502_155827.yaml,6,3,syntax_validation,2,moderate,'VpcId' is a dependency of 'SecurityGroupEgress',SecurityGroup
2/5/2025 16:01,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_6_update_4_template_20250502_160004.yaml,6,4,deployment,0,simple,"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId] must have values",
2/5/2025 16:01,deepseek,deepseek-reasoner,llm_generated_data/template/iterative/deepseek/deepseek-reasoner/row_6_update_5_template_20250502_160101.yaml,6,5,deployment,1,simple,"An error occurred (ValidationError) when calling the CreateStack operation: Parameters: [KeyName, VpcId, SubnetId] must have values",
