row_number,prompt,ground_truth_path,final_template_path,success,failure_reason,error_message,failed_at_stage,total_iterations,highest_feedback_level,coverage_percentage,accuracy_percentage
0,We need a CloudFormation template that creates an AWS SQS queue with basic configuration.,../Data/groud_truth/template/sqs_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_0_update_1_template_20260228_140426.yaml,True,,,,1,,100.0,100.0
1,"We need a CloudFormation template that creates an AWS SNS with notification sending to email ""test@test.com"".",../Data/groud_truth/template/sns_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_1_update_5_template_20260228_141554.yaml,True,,,,5,moderate,100.0,50.0
2,We need a CloudFormation template that creates an Amazon S3 bucket with defaults,../Data/groud_truth/template/s3_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_2_update_1_template_20260228_141746.yaml,True,,,,1,,100.0,100.0
3,We need a CloudFormation template that creates an Amazon S3 bucket for website hosting and with a DeletionPolicy,../Data/groud_truth/template/s3_webhost_and_deletion_policy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_3_update_4_template_20260228_142433.yaml,True,,,,4,moderate,100.0,100.0
0,We need a CloudFormation template that creates an AWS SQS queue with basic configuration.,../Data/groud_truth/template/sqs_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_0_update_1_template_20260228_144541.yaml,True,,,,1,,100.0,100.0
1,"We need a CloudFormation template that creates an AWS SNS with notification sending to email ""test@test.com"".",../Data/groud_truth/template/sns_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_1_update_1_template_20260228_144643.yaml,True,,,,1,,100.0,50.0
2,We need a CloudFormation template that creates an Amazon S3 bucket with defaults,../Data/groud_truth/template/s3_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_2_update_1_template_20260228_144816.yaml,True,,,,1,,100.0,100.0
3,We need a CloudFormation template that creates an Amazon S3 bucket for website hosting and with a DeletionPolicy,../Data/groud_truth/template/s3_webhost_and_deletion_policy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_3_update_5_template_20260228_145704.yaml,True,,,,5,moderate,100.0,100.0
4,We need a CloudFormation template that creates an EC2 instance with the latest Amazon Linux 2 AMI,../Data/groud_truth/template/ec2_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_4_update_13_template_20260228_152731.yaml,True,,,,13,moderate,100.0,9.090909090909092
5,"We need a CloudFormation template that creates a DynamoDB table about ArtistId, Concert, and TicketSales.",../Data/groud_truth/template/DynamoDB_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_5_update_4_template_20260228_154040.yaml,True,,,,4,moderate,100.0,100.0
6,We need a CloudFormation template that creates an EC2 instance with Security Group that is able to deploy on AWS successfully.,../Data/groud_truth/template/EC2InstanceWithSecurityGroupSample.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_6_update_10_template_20260228_161045.yaml,True,,,,10,moderate,100.0,18.181818181818183
7,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`) with secure remote management capabilities using AWS Systems Manager (SSM). The solution uses region-specific AMIs for compatibility and attaches a minimal security group to the instance. ,../Data/groud_truth/template/virtualmachine.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_7_update_10_template_20260228_163142.yaml,True,,,,10,moderate,100.0,54.54545454545454
8,"We need a CloudFormation template that creates a CloudWatch Dashboard with four CloudWatch Logs Insights log widgets that query VPC flow logs for NAT Gateway. The solution should iclude widgets for top source IPs by outbound traffic and rejected connections, using CloudWatch Logs Insights queries to filter and aggregate NAT Gateway-specific data (`interfaceId like 'eni-'`).  ",../Data/groud_truth/template/CloudWatch_Dashboard_NAT_FlowLogs.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_8_update_13_template_20260228_165923.yaml,False,max_stage_error_attempts_exceeded,"[{'resource': 'DashboardArn', 'message': ""'DashboardArn' is not one of [] in ['us-east-1']"", 'line_number': 27, 'rule_description': 'Make sure that output values have a type of string', 'documentation': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/outputs-section-structure.html'}]",syntax_validation,13,moderate,,
9,We need a CloudFormation template that creates an encrypted One Zone file system in the us-east-1a Availability Zone.,../Data/groud_truth/template/EFS_encrypted_one_zone.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_9_update_9_template_20260228_171507.yaml,True,,,,9,moderate,66.66666666666666,57.14285714285714
10,We need a CloudFormation template that creates an EC2 instance with ephemeral drives attached using EC2 block device mappings that is able to deploy on AWS successfully. This template should automatically fetch the latest Amazon Linux 2 AMI via SSM Parameter Store and create an SSH key pair for secure access. Note the template should deploy the EC2 in pre-exist default vpc/subnet.,../Data/groud_truth/template/EC2_Instance_With_Ephemeral_Drives.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_10_update_7_template_20260228_180330.yaml,True,,,,7,moderate,66.66666666666666,25.0
11,We need a CloudFormation template that creates a DynamoDB table for mobile notifications reporting. The DynamoDB table should has a global secondary index on `type` and `sentTime` for time-based queries. Configure pay-per-request billing for cost efficiency with unpredictable workloads and TTL auto-expiry for automatic cleanup of stale data. ,../Data/groud_truth/template/dynamo.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_11_update_1_template_20260228_180645.yaml,True,,,,1,,100.0,100.0
12,We need a CloudFormation template that creates an EC2 instance with an Elastic IP address and SSH access controls associated that is able to deploy on AWS successfully. Note the EC2 instance can just create in the default vpc/subnet.,../Data/groud_truth/template/EIP_With_Association.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_12_update_14_template_20260228_184456.yaml,True,,,,14,moderate,75.0,33.33333333333333
13,"We need a CloudFormation template that creates EC2 instance with cfn-init and cfn-signal that is able to deploy on AWS successfully. The solution should deploy an EC2 instance preconfigured with Apache HTTP Server via `cfn-init` package installation and service setup. Automate web server initialization by creating a sample `index.html` page and configuring `cfn-hup` for metadata updates, enabling automatic reconfiguration if stack parameters change. Use a CreationPolicy with ResourceSignal to pause stack creation until `cfn-signal` confirms successful instance bootstrapping (timeout: 5 minutes), preventing incomplete deployments.  ",../Data/groud_truth/template/InstanceWithCfnInit.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_13_update_12_template_20260228_190916.yaml,True,,,,12,moderate,100.0,25.0
14,We need a CloudFormation template that creates a single Elastic Network Interface (ENI) with two Elastic IPs (EIPs) and secondary private IPs which enables a single EC2 instance (not explicitly defined) to handle multiple public-facing IP addresses through one network interface.,../Data/groud_truth/template/SingleENIwithMultipleEIPs.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_14_update_9_template_20260228_192832.yaml,True,,,,9,moderate,33.33333333333333,100.0
15,We need a CloudFormation template that creates an API Gateway with lambda non-proxy integration for RESTApi that is able to deploy on AWS successfully.,../Data/groud_truth/template/apigateway_lambda_integration.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_15_update_4_template_20260228_193634.yaml,True,,,,4,moderate,85.71428571428571,75.0
16,"We need a CloudFormation template that creates AWS Glue resources for crawling and cataloging CloudTrail logs stored in S3 which attempts to enable structured querying via Athena. The solution should deploy a Glue Database and Crawler to analyze CloudTrail logs in an S3 bucket (`s3://kk-admin/cloud-trail/AWSLogs/`), automatically inferring schemas and creating metadata tables. Define crawler settings to handle schema updates and prefix tables with `cloudtrail_` for organizational clarity.  ",../Data/groud_truth/template/glue-for-cloudtrail.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_16_update_4_template_20260228_194212.yaml,True,,,,4,moderate,100.0,100.0
17,"We need a CloudFormation template that creates multi-threshold AWS billing alarms using CloudWatch and SNS which monitor monthly AWS costs and send email alerts when spending exceeds predefined levels. The solution should deploy four CloudWatch alarms tracking the `EstimatedCharges` metric, triggering at $5, $10, $20, and $40 thresholds respectively. Configure an SNS topic with an email subscription to notify email address (xxxxx@gmail.com) when any alarm threshold is breached. Please monitor charges with alarms evaluated every 6 hours to balance responsiveness and noise reduction. ",../Data/groud_truth/template/billing-alarms.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_17_update_1_template_20260228_194804.yaml,True,,,,1,,100.0,83.33333333333334
18,"We need a CloudFormation template that creates an integration between DynamoDB streams and Amazon EventBridge to automate event-driven workflows based on specific data changes. The template must configure an EventBridge Pipe to filter DynamoDB stream events (e.g., when a user's 'avatarUrl' field ends with '.png') and route matching events to the bus with predefined metadata (`DetailType` and `Source`). ",../Data/groud_truth/template/dynamodb_with_eventbridge.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_18_update_8_template_20260228_211451.yaml,True,,,,8,moderate,75.0,100.0
19,"We need a CloudFormation template that creates an Amazon EventBridge configuration to route custom events to an external API endpoint via HTTPS. The template should deploy an EventBridge event bus, an API destination ('https://webhook.site/testtest'), and a connection secured by an API key for authentication. ",../Data/groud_truth/template/eventbridge.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_19_update_4_template_20260228_212122.yaml,True,,,,4,moderate,80.0,66.66666666666666
20,"We need a CloudFormation template that creates a CloudWatch Dashboard and a set of CloudWatch Logs Insights queries to monitor and analyze AWS Client VPN usage patterns. The solution should aggregate metrics such as connection durations, data transfer volumes (ingress/egress), and user activity across different authentication methods (AD/SAML, Mutual Auth, and Mixed Auth). The template must organize queries into a logical folder structure and display results in a centralized dashboard with tables showing endpoint-specific usage, distinct user statistics, and authentication-type breakdowns.",../Data/groud_truth/template/CloudWatch_Dashboard_ClientVPN.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_20_update_1_template_20260228_212227.yaml,True,,,,1,,42.857142857142854,100.0
