check_id,check_title,count,label
CKV_AWS_18,Ensure the S3 bucket has access logging enabled,35,CKV_AWS_18 – Ensure the S3 bucket has access logging enabled
CKV_AWS_21,Ensure the S3 bucket has versioning enabled,33,CKV_AWS_21 – Ensure the S3 bucket has versioning enabled
CKV_AWS_23,Ensure every security groups rule has a description,31,CKV_AWS_23 – Ensure every security groups rule has a description
CKV_AWS_55,Ensure S3 bucket has ignore public ACLs enabled,28,CKV_AWS_55 – Ensure S3 bucket has ignore public ACLs enabled
CKV_AWS_53,Ensure S3 bucket has block public ACLs enabled,27,CKV_AWS_53 – Ensure S3 bucket has block public ACLs enabled
CKV_AWS_56,Ensure S3 bucket has RestrictPublicBuckets enabled,27,CKV_AWS_56 – Ensure S3 bucket has RestrictPublicBuckets enabled
CKV_AWS_54,Ensure S3 bucket has block public policy enabled,26,CKV_AWS_54 – Ensure S3 bucket has block public policy enabled
CKV_AWS_111,Ensure IAM policies does not allow write access without constraints,23,CKV_AWS_111 – Ensure IAM policies does not allow write access without
CKV_AWS_27,Ensure all data stored in the SQS queue is encrypted,20,CKV_AWS_27 – Ensure all data stored in the SQS queue is encrypted
CKV_AWS_115,Ensure that AWS Lambda function is configured for function-level concurrent execution limit,20,CKV_AWS_115 – Ensure that AWS Lambda function is configured for funct
CKV_AWS_116,Ensure that AWS Lambda function is configured for a Dead Letter Queue(DLQ),20,CKV_AWS_116 – Ensure that AWS Lambda function is configured for a Dea
CKV_AWS_117,Ensure that AWS Lambda function is configured inside a VPC,20,CKV_AWS_117 – Ensure that AWS Lambda function is configured inside a 
CKV_AWS_26,Ensure all data stored in the SNS topic is encrypted,14,CKV_AWS_26 – Ensure all data stored in the SNS topic is encrypted
CKV_AWS_158,Ensure that CloudWatch Log Group is encrypted by KMS,12,CKV_AWS_158 – Ensure that CloudWatch Log Group is encrypted by KMS
CKV_AWS_88,EC2 instance should not have public IP.,12,CKV_AWS_88 – EC2 instance should not have public IP.
CKV_AWS_119,Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK,9,CKV_AWS_119 – Ensure DynamoDB Tables are encrypted using a KMS Custom
CKV_AWS_260,Ensure no security groups allow ingress from 0.0.0.0:0 to port 80,8,CKV_AWS_260 – Ensure no security groups allow ingress from 0.0.0.0:0 
CKV_AWS_59,Ensure there is no open access to back-end resources through API,8,CKV_AWS_59 – Ensure there is no open access to back-end resources th
CKV_AWS_118,Ensure that enhanced monitoring is enabled for Amazon RDS instances,8,CKV_AWS_118 – Ensure that enhanced monitoring is enabled for Amazon R
CKV_AWS_109,Ensure IAM policies does not allow permissions management without constraints,8,CKV_AWS_109 – Ensure IAM policies does not allow permissions manageme
