check_id,check_title,count
AWS-0124,Missing description for security group rule.,181
AWS-0178,"VPC Flow Logs is a feature that enables you to capture information about the IP traffic going to and from network interfaces in your VPC. After you've created a flow log, you can view and retrieve its data in Amazon CloudWatch Logs. It is recommended that VPC Flow Logs be enabled for packet ""Rejects"" for VPCs.",112
AWS-0132,S3 encryption should use Customer Managed Keys,96
AWS-0087,S3 Access block should block public policy,95
AWS-0093,S3 Access block should restrict public bucket to limit access,94
AWS-0094,S3 buckets should each define an aws_s3_bucket_public_access_block,94
AWS-0091,S3 Access Block should Ignore Public ACL,94
AWS-0086,S3 Access block should block public ACL,94
AWS-0089,S3 Bucket Logging,94
AWS-0090,S3 Data should be versioned,93
AWS-0099,Missing description for security group.,90
AWS-0104,A security group rule should not allow unrestricted egress to any IP address.,87
AWS-0038,EKS Clusters should have cluster control plane logging turned on,80
AWS-0164,Instances in a subnet should not receive a public IP address by default.,69
AWS-0177,"""RDS Deletion Protection Disabled""",66
AWS-0133,Enable Performance Insights to detect potential problems,66
AWS-0176,"""RDS IAM Database Authentication Disabled""",59
AWS-0080,RDS encryption has not been enabled at a DB Instance level.,52
AWS-0077,RDS Cluster and RDS instance should have backup retention longer than default 1 day,47
AWS-0028,aws_instance should activate session tokens for Instance Metadata Service.,46
AWS-0131,Instance with unencrypted block device.,46
AWS-0024,Point in time recovery should be enabled to protect DynamoDB table,23
AWS-0107,Security groups should not allow unrestricted ingress to SSH or RDP from any IP address.,22
AWS-0025,DynamoDB tables should use at rest encryption with a Customer Managed Key,22
AWS-0066,Lambda functions should have X-Ray tracing enabled,22
AWS-0053,Load balancer is exposed to the internet.,22
AWS-0180,"""RDS Publicly Accessible""",21
AWS-0052,Load balancers should drop invalid headers,17
AWS-0040,EKS Clusters should have the public access disabled,16
AWS-0041,EKS cluster should not have open CIDR range for public access,16
AWS-0084,Redshift clusters should use at rest encryption,16
AWS-0039,EKS should have the encryption of secrets enabled,16
AWS-0054,Use of plain HTTP.,16
AWS-0127,Redshift cluster should be deployed into a specific VPC,15
AWS-0065,A KMS key is not configured to auto-rotate.,14
AWS-0073,A MSK cluster allows unencrypted data in transit.,11
AWS-0095,Unencrypted SNS topic.,9
AWS-0130,aws_instance should activate session tokens for Instance Metadata Service.,9
AWS-0079,There is no encryption specified or encryption is disabled on the RDS Cluster.,9
AWS-0343,"""RDS Cluster Deletion Protection Disabled""",9
AWS-0179,A MSK cluster allows unencrypted data at rest.,8
AWS-0004,No unauthorized access to API Gateway methods,8
AWS-0037,EFS Encryption has not been enabled,7
AWS-0008,Launch configuration with unencrypted block device.,7
AWS-0074,Ensure MSK Cluster logging is enabled,6
AWS-0098,Secrets Manager should use customer managed keys,5
AWS-0017,CloudWatch log groups should be encrypted using CMK,5
AWS-0126,Elasticsearch domain endpoint is using outdated TLS policy.,4
AWS-0128,Neptune encryption should use Customer Managed Keys,4
AWS-0001,API Gateway stages for V1 and V2 should have access logging enabled,4
AWS-0075,Neptune logs export should be enabled,4
AWS-0076,Neptune storage must be encrypted at rest,4
AWS-0043,Elasticsearch domain uses plaintext traffic for node to node communication.,4
AWS-0010,Cloudfront distribution should have Access Logging configured,4
AWS-0064,Kinesis stream is unencrypted.,4
AWS-0011,CloudFront distribution does not have a WAF in front.,4
AWS-0012,CloudFront distribution allows unencrypted (HTTP) communications.,4
AWS-0018,CodeBuild Project artifacts encryption should not be disabled,4
AWS-0048,Elasticsearch domain isn't encrypted at rest.,4
AWS-0046,Elasticsearch doesn't enforce HTTPS traffic.,4
AWS-0003,API Gateway must have X-Ray tracing enabled,4
AWS-0042,Domain logging should be enabled for Elastic Search domains,4
AWS-0009,Launch configuration should not have a public IP address.,3
AWS-0023,DAX Cluster should always encrypt data at rest,3
AWS-0026,EBS volumes must be encrypted,3
AWS-0027,EBS volume encryption should use Customer Managed Keys,3
AWS-0029,User data for EC2 instances must not contain sensitive AWS keys,3
AWS-0344,AWS AMI data source should specify owners,3
AWS-0129,User data for EC2 instances must not contain sensitive AWS keys,3
AWS-0122,Ensure all data stored in the launch configuration EBS is securely encrypted,3
AWS-0050,Redis cluster should have backup retention turned on,3
AWS-0105,Network ACLs should not allow unrestricted ingress to SSH or RDP from any IP address.,3
AWS-0102,An Network ACL rule allows ALL ports.,3
AWS-0101,AWS best practice to not use the default VPC for workflows,3
AWS-0049,Missing description for security group/security group rule.,2
AWS-0051,Elasticache Replication Group uses unencrypted traffic.,2
AWS-0045,Elasticache Replication Group stores unencrypted data at-rest.,2
AWS-0067,Ensure that lambda function permission has a source arn specified,1
AWS-0096,Unencrypted SQS queue.,1
