row,ground_truth_path,prompt_preview,overall_status,yaml_gate,cfn_lint_gate,deploy_gate,error_summary
0,Data\groud_truth\template\sqs_easy.yaml,We need a CloudFormation template that creates an AWS SQS queue with basic confi,✅ PASSED,✅,✅,⏭️,
1,Data\groud_truth\template\sns_easy.yaml,We need a CloudFormation template that creates an AWS SNS with notification send,✅ PASSED,✅,✅,⏭️,
2,Data\groud_truth\template\s3_easy.yaml,We need a CloudFormation template that creates an Amazon S3 bucket with defaults,✅ PASSED,✅,✅,⏭️,
3,Data\groud_truth\template\s3_webhost_and_deletion_policy.yaml,We need a CloudFormation template that creates an Amazon S3 bucket for website h,✅ PASSED,✅,✅,⏭️,
4,Data\groud_truth\template\ec2_easy.yaml,We need a CloudFormation template that creates an EC2 instance with the latest A,✅ PASSED,✅,✅,⏭️,
5,Data\groud_truth\template\DynamoDB_easy.yaml,We need a CloudFormation template that creates a DynamoDB table about ArtistId, ,✅ PASSED,✅,✅,⏭️,
6,Data\groud_truth\template\EC2InstanceWithSecurityGroupSample.yaml,We need a CloudFormation template that creates an EC2 instance with Security Gro,✅ PASSED,✅,✅,⏭️,
7,Data\groud_truth\template\virtualmachine.yaml,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`),✅ PASSED,✅,✅,⏭️,
8,Data\groud_truth\template\CloudWatch_Dashboard_NAT_FlowLogs.yaml,We need a CloudFormation template that creates a CloudWatch Dashboard with four ,✅ PASSED,✅,✅,⏭️,
9,Data\groud_truth\template\EFS_encrypted_one_zone.yaml,We need a CloudFormation template that creates an encrypted One Zone file system,✅ PASSED,✅,✅,⏭️,
10,Data\groud_truth\template\EC2_Instance_With_Ephemeral_Drives.yaml,We need a CloudFormation template that creates an EC2 instance with ephemeral dr,✅ PASSED,✅,✅,⏭️,
11,Data\groud_truth\template\dynamo.yaml,We need a CloudFormation template that creates a DynamoDB table for mobile notif,✅ PASSED,✅,✅,⏭️,
12,Data\groud_truth\template\EIP_With_Association.yaml,We need a CloudFormation template that creates an EC2 instance with an Elastic I,✅ PASSED,✅,✅,⏭️,
13,Data\groud_truth\template\InstanceWithCfnInit.yaml,We need a CloudFormation template that creates EC2 instance with cfn-init and cf,✅ PASSED,✅,✅,⏭️,
14,Data\groud_truth\template\SingleENIwithMultipleEIPs.yaml,We need a CloudFormation template that creates a single Elastic Network Interfac,✅ PASSED,✅,✅,⏭️,
15,Data\groud_truth\template\apigateway_lambda_integration.yaml,We need a CloudFormation template that creates an API Gateway with lambda non-pr,✅ PASSED,✅,✅,⏭️,
16,Data\groud_truth\template\glue-for-cloudtrail.yaml,We need a CloudFormation template that creates AWS Glue resources for crawling a,✅ PASSED,✅,✅,⏭️,
17,Data\groud_truth\template\billing-alarms.yaml,We need a CloudFormation template that creates multi-threshold AWS billing alarm,✅ PASSED,✅,✅,⏭️,
18,Data\groud_truth\template\dynamodb_with_eventbridge.yaml,We need a CloudFormation template that creates an integration between DynamoDB s,✅ PASSED,✅,✅,⏭️,
19,Data\groud_truth\template\eventbridge.yaml,We need a CloudFormation template that creates an Amazon EventBridge configurati,✅ PASSED,✅,✅,⏭️,
20,Data\groud_truth\template\CloudWatch_Dashboard_ClientVPN.yaml,We need a CloudFormation template that creates a CloudWatch Dashboard and a set ,✅ PASSED,✅,✅,⏭️,
21,Data\groud_truth\template\ts_tables.yaml,We need a CloudFormation template that creates an Amazon Timestream database and,✅ PASSED,✅,✅,⏭️,
22,Data\groud_truth\template\DynamoDB_Secondary_Indexes.yaml,We need a CloudFormation template that creates a DynamoDB table with local and g,✅ PASSED,✅,✅,⏭️,
23,Data\groud_truth\template\DynamoDB_Table.yaml,We need a CloudFormation template that creates a DynamoDB table. ,✅ PASSED,✅,✅,⏭️,
24,Data\groud_truth\template\Elasticache-snapshot.yaml,We need a CloudFormation template that creates a VPC containing two subnets and ,✅ PASSED,✅,✅,⏭️,
25,Data\groud_truth\template\iot_sns_sqs.yaml,We need a CloudFormation template that creates an IoT data pipeline to route mes,✅ PASSED,✅,✅,⏭️,
26,Data\groud_truth\template\s3_sns.yaml,We need a CloudFormation template that creates an S3 bucket integrated with Amaz,✅ PASSED,✅,✅,⏭️,
27,Data\groud_truth\template\sam_kinesis.yaml,We need a CloudFormation template that creates a real-time data ingestion and st,✅ PASSED,✅,✅,⏭️,
28,Data\groud_truth\template\sns_for_secret_manager.yaml,We need a CloudFormation template that creates an automated monitoring and notif,✅ PASSED,✅,✅,⏭️,
29,Data\groud_truth\template\parameter-store-demo.yaml,We need a CloudFormation template that creates secure parameter storage and retr,✅ PASSED,✅,✅,⏭️,
30,Data\groud_truth\template\efs-provisioned.yaml,We need a CloudFormation template that creates a EFS file system with cross-AZ E,✅ PASSED,✅,✅,⏭️,
31,Data\groud_truth\template\codedeploy.yaml,We need a CloudFormation template that creates an automated deployment pipeline ,✅ PASSED,✅,✅,⏭️,
32,Data\groud_truth\template\LambdaSample.yaml,We need a CloudFormation template that creates a Lambda sample.,✅ PASSED,✅,✅,⏭️,
33,Data\groud_truth\template\lab3.1.4.iamrole.yaml,We need a CloudFormation template that creates IAM roles for EC2 instances with ,✅ PASSED,✅,✅,⏭️,
34,Data\groud_truth\template\RDS_PIOPS.yaml,We need a CloudFormation template that creates a MySQL RDS instance (db.r5.large,✅ PASSED,✅,✅,⏭️,
35,Data\groud_truth\template\RDS_Snapshot_On_Delete.yaml,We need a CloudFormation template that creates MySQL RDS instance (db.t3.micro) ,✅ PASSED,✅,✅,⏭️,
36,Data\groud_truth\template\RDS_with_DBParameterGroup.yaml,We need a CloudFormation template that creates a MySQL RDS instance (db.t3.micro,✅ PASSED,✅,✅,⏭️,
