row_number,prompt,ground_truth_path,final_template_path,success,failure_reason,error_message,failed_at_stage,total_iterations,highest_feedback_level,coverage_percentage,accuracy_percentage,checkov_pass_user_intent,checkov_validation_details,checkov_pass_security,checkov_pass_security_percentage,checkov_security_details
0,We need create an AWS SQS queue with basic configuration.,groud_truth\template\sqs_easy.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_0_update_1_template_20250217_120805.yaml,TRUE,,,,1,,100,100,,,FALSE,0,"{'total_checks': 1, 'passed_checks': 0, 'failed_checks': 1, 'pass_percentage': 0.0, 'failed_check_details': [{'id': 'CKV_AWS_27', 'name': 'Ensure all data stored in the SQS queue is encrypted', 'resource': 'AWS::SQS::Queue.MyQueue'}]}"
1,"We need create an AWS SNS with notification sending to email ""test@test.com"".",groud_truth\template\sns_easy.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_1_update_1_template_20250217_120855.yaml,TRUE,,,,1,,100,50,,,FALSE,0,"{'total_checks': 1, 'passed_checks': 0, 'failed_checks': 1, 'pass_percentage': 0.0, 'failed_check_details': [{'id': 'CKV_AWS_26', 'name': 'Ensure all data stored in the SNS topic is encrypted', 'resource': 'AWS::SNS::Topic.NotificationTopic'}]}"
2,We need creating an Amazon S3 bucket with defaults,groud_truth\template\s3_easy.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_2_update_1_template_20250217_120913.yaml,TRUE,,,,1,,100,100,,,FALSE,77.78,"{'total_checks': 9, 'passed_checks': 7, 'failed_checks': 2, 'pass_percentage': 77.78, 'failed_check_details': [{'id': 'CKV_AWS_18', 'name': 'Ensure the S3 bucket has access logging enabled', 'resource': 'AWS::S3::Bucket.S3Bucket'}, {'id': 'CKV_AWS_21', 'name': 'Ensure the S3 bucket has versioning enabled', 'resource': 'AWS::S3::Bucket.S3Bucket'}]}"
3,We need to create an Amazon S3 bucket for website hosting and with a DeletionPolicy,groud_truth\template\s3_webhost_and_deletion_policy.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_3_update_6_template_20250217_121059.yaml,TRUE,,,,6,moderate,100,100,,,FALSE,33.33,"{'total_checks': 9, 'passed_checks': 3, 'failed_checks': 6, 'pass_percentage': 33.33, 'failed_check_details': [{'id': 'CKV_AWS_18', 'name': 'Ensure the S3 bucket has access logging enabled', 'resource': 'AWS::S3::Bucket.WebsiteBucket'}, {'id': 'CKV_AWS_53', 'name': 'Ensure S3 bucket has block public ACLs enabled', 'resource': 'AWS::S3::Bucket.WebsiteBucket'}, {'id': 'CKV_AWS_54', 'name': 'Ensure S3 bucket has block public policy enabled', 'resource': 'AWS::S3::Bucket.WebsiteBucket'}, {'id': 'CKV_AWS_55', 'name': 'Ensure S3 bucket has ignore public ACLs enabled', 'resource': 'AWS::S3::Bucket.WebsiteBucket'}, {'id': 'CKV_AWS_56', 'name': 'Ensure S3 bucket has RestrictPublicBuckets enabled', 'resource': 'AWS::S3::Bucket.WebsiteBucket'}, {'id': 'CKV_AWS_21', 'name': 'Ensure the S3 bucket has versioning enabled', 'resource': 'AWS::S3::Bucket.WebsiteBucket'}]}"
4,We need to create an EC2 instance with the latest Amazon Linux 2 AMI,groud_truth\template\ec2_easy.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_4_update_7_template_20250217_121457.yaml,TRUE,,,,7,moderate,100,11.11111111,,,FALSE,66.67,"{'total_checks': 6, 'passed_checks': 4, 'failed_checks': 2, 'pass_percentage': 66.67, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.InstanceSecurityGroup'}, {'id': 'CKV_AWS_24', 'name': 'Ensure no security groups allow ingress from 0.0.0.0:0 to port 22', 'resource': 'AWS::EC2::SecurityGroup.InstanceSecurityGroup'}]}"
5,"We need to create a DynamoDB table about ArtistId, Concert, and TicketSales.",groud_truth\template\DynamoDB_easy.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_5_update_1_template_20250217_121555.yaml,TRUE,,,,1,,100,100,,,FALSE,50,"{'total_checks': 2, 'passed_checks': 1, 'failed_checks': 1, 'pass_percentage': 50.0, 'failed_check_details': [{'id': 'CKV_AWS_119', 'name': 'Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK', 'resource': 'AWS::DynamoDB::Table.ConcertManagementTable'}]}"
6,We need a CloudFormation template of an EC2 instance with Security Group that is able to deploy on AWS successfully.,groud_truth\template\EC2InstanceWithSecurityGroupSample.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_6_update_10_template_20250217_122322.yaml,TRUE,,,,10,moderate,100,22.22222222,,,FALSE,66.67,"{'total_checks': 6, 'passed_checks': 4, 'failed_checks': 2, 'pass_percentage': 66.67, 'failed_check_details': [{'id': 'CKV_AWS_23', 'name': 'Ensure every security groups rule has a description', 'resource': 'AWS::EC2::SecurityGroup.MySecurityGroup'}, {'id': 'CKV_AWS_24', 'name': 'Ensure no security groups allow ingress from 0.0.0.0:0 to port 22', 'resource': 'AWS::EC2::SecurityGroup.MySecurityGroup'}]}"
7,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`) with secure remote management capabilities using AWS Systems Manager (SSM). The solution uses region-specific AMIs for compatibility and attaches a minimal security group to the instance. ,groud_truth\template\virtualmachine.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_7_update_8_template_20250421_154425.yaml,TRUE,,,,8,moderate,100,54.54545455,,,TRUE,100,"{'total_checks': 13, 'passed_checks': 13, 'failed_checks': 0, 'pass_percentage': 100.0, 'failed_check_details': []}"
8,We need a CloudFormation template that creates a CloudWatch Dashboard with four CloudWatch Logs Insights log widgets that query VPC flow logs for NAT Gateway.,groud_truth\template\CloudWatch_Dashboard_NAT_FlowLogs.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_8_update_1_template_20250217_132319.yaml,TRUE,,,,1,,100,100,,,TRUE,0,"{'total_checks': 0, 'passed_checks': 0, 'failed_checks': 0, 'pass_percentage': 0, 'failed_check_details': []}"
9,We need to create an encrypted One Zone file system in the us-east-1a Availability Zone.,groud_truth\template\EFS_encrypted_one_zone.yaml,llm_generated_data/template/iterative/claude/claude-3-5-sonnet-20241022/row_9_update_3_template_20250217_132421.yaml,TRUE,,,,3,simple,33.33333333,100,,,TRUE,100,"{'total_checks': 3, 'passed_checks': 3, 'failed_checks': 0, 'pass_percentage': 100.0, 'failed_check_details': []}"
