row_number,ground_truth_path,prompt,difficulty_level,resources,resource_count,loc,parameter_count,user_intent,user_intent_file_path,user_intent_id,needed_resources
0,Data\groud_truth\template\sqs_easy.yaml,We need a CloudFormation template that creates an AWS SQS queue with basic configuration.,1,AWS::SQS::Queue,1,7,0,1,Data\user_intent\row_0.yaml,UIV_CUSTOM_ROW_0,AWS::SQS::Queue
1,Data\groud_truth\template\sns_easy.yaml,"We need a CloudFormation template that creates an AWS SNS with notification sending to email ""test@test.com"".",1,AWS::SNS::Topic,1,9,0,1,Data\user_intent\row_1.yaml,UIV_CUSTOM_ROW_1,AWS::SNS::Topic
2,Data\groud_truth\template\s3_easy.yaml,We need a CloudFormation template that creates an Amazon S3 bucket with defaults,1,AWS::S3::Bucket,1,5,0,1,Data\user_intent\row_2.yaml,UIV_CUSTOM_ROW_2,AWS::S3::Bucket
3,Data\groud_truth\template\s3_webhost_and_deletion_policy.yaml,We need a CloudFormation template that creates an Amazon S3 bucket for website hosting and with a DeletionPolicy,2,"AWS::S3::Bucket, AWS::S3::BucketPolicy",2,47,0,,,,
4,Data\groud_truth\template\ec2_easy.yaml,We need a CloudFormation template that creates an EC2 instance with the latest Amazon Linux 2 AMI,1,AWS::EC2::Instance,1,12,1,,,,
5,Data\groud_truth\template\DynamoDB_easy.yaml,"We need a CloudFormation template that creates a DynamoDB table about ArtistId, Concert, and TicketSales.",1,AWS::DynamoDB::Table,1,39,0,1,Data\user_intent\row_5.yaml,UIV_CUSTOM_ROW_5,AWS::DynamoDB::Table
6,Data\groud_truth\template\EC2InstanceWithSecurityGroupSample.yaml,We need a CloudFormation template that creates an EC2 instance with Security Group that is able to deploy on AWS successfully.,2,"AWS::EC2::SecurityGroup, AWS::EC2::Instance",2,54,3,,,,
7,Data\groud_truth\template\virtualmachine.yaml,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`) with secure remote management capabilities using AWS Systems Manager (SSM). The solution uses region-specific AMIs for compatibility and attaches a minimal security group to the instance. ,3,"AWS::EC2::VPC, AWS::EC2::Subnet, AWS::EC2::SecurityGroup, AWS::IAM::InstanceProfile, AWS::IAM::Role, AWS::EC2::Instance",6,97,1,3,"Data\user_intent\row_7A.yaml, user_intent\row_7B.yaml ","UIV_CUSTOM_ROW_7A, UIV_CUSTOM_ROW_7B","AWS::EC2::VPC, AWS::EC2::Subnet, AWS::EC2::SecurityGroup, AWS::IAM::InstanceProfile, AWS::IAM::Role, AWS::EC2::Instance"
8,Data\groud_truth\template\CloudWatch_Dashboard_NAT_FlowLogs.yaml,"We need a CloudFormation template that creates a CloudWatch Dashboard with four CloudWatch Logs Insights log widgets that query VPC flow logs for NAT Gateway. The solution should iclude widgets for top source IPs by outbound traffic and rejected connections, using CloudWatch Logs Insights queries to filter and aggregate NAT Gateway-specific data (`interfaceId like 'eni-'`).  ",2,AWS::CloudWatch::Dashboard,1,73,2,,,,
9,Data\groud_truth\template\EFS_encrypted_one_zone.yaml,We need a CloudFormation template that creates an encrypted One Zone file system in the us-east-1a Availability Zone.,3,"AWS::EC2::VPC, AWS::EC2::Subnet, AWS::EFS::FileSystem, AWS::KMS::Key, AWS::EFS::MountTarget, AWS::EFS::AccessPoint",6,88,1,3,Data\user_intent\row_9.yaml,UIV_CUSTOM_ROW_9,"AWS::EFS::FileSystem, AWS::KMS::Key"
