row_index,row_number,difficulty_level,prompt,ground_truth_path,user_intent_file_path,user_intent_ids,pass_user_intent,total_intent_checks,passed_intent_ids,failed_intent_ids,total_passed,total_failed,template_empty,error,passed_check_details,failed_check_details
0,0,1,We need a CloudFormation template that creates an AWS SQS queue with basic configuration.,Data\groud_truth\template\sqs_easy.yaml,Data\user_intent\row_0.yaml,UIV_CUSTOM_ROW_0,False,1,,UIV_CUSTOM_ROW_0,0,0,False,,[],[]
1,1,1,"We need a CloudFormation template that creates an AWS SNS with notification sending to email ""test@test.com"".",Data\groud_truth\template\sns_easy.yaml,Data\user_intent\row_1.yaml,UIV_CUSTOM_ROW_1,False,1,,UIV_CUSTOM_ROW_1,0,0,False,,[],[]
2,2,1,We need a CloudFormation template that creates an Amazon S3 bucket with defaults,Data\groud_truth\template\s3_easy.yaml,Data\user_intent\row_2.yaml,UIV_CUSTOM_ROW_2,False,1,,UIV_CUSTOM_ROW_2,0,0,False,,[],[]
5,5,1,"We need a CloudFormation template that creates a DynamoDB table about ArtistId, Concert, and TicketSales.",Data\groud_truth\template\DynamoDB_easy.yaml,Data\user_intent\row_5.yaml,UIV_CUSTOM_ROW_5,False,1,,UIV_CUSTOM_ROW_5,0,0,False,,[],[]
7,7,3,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`) with secure remote management capabilities using AWS Systems Manager (SSM). The solution uses region-specific AMIs for compatibility and attaches a minimal security group to the instance. ,Data\groud_truth\template\virtualmachine.yaml,"Data\user_intent\row_7A.yaml, user_intent\row_7B.yaml ",UIV_CUSTOM_ROW_7A;UIV_CUSTOM_ROW_7B,False,2,,UIV_CUSTOM_ROW_7A;UIV_CUSTOM_ROW_7B,0,0,False,,[],[]
9,9,3,We need a CloudFormation template that creates an encrypted One Zone file system in the us-east-1a Availability Zone.,Data\groud_truth\template\EFS_encrypted_one_zone.yaml,Data\user_intent\row_9.yaml,UIV_CUSTOM_ROW_9,False,1,,UIV_CUSTOM_ROW_9,0,0,False,,[],[]
11,11,1,We need a CloudFormation template that creates a DynamoDB table for mobile notifications reporting. The DynamoDB table should has a global secondary index on `type` and `sentTime` for time-based queries. Configure pay-per-request billing for cost efficiency with unpredictable workloads and TTL auto-expiry for automatic cleanup of stale data. ,Data\groud_truth\template\dynamo.yaml,Data\user_intent\row_11.yaml,UIV_CUSTOM_ROW_11,False,1,,UIV_CUSTOM_ROW_11,0,0,False,,[],[]
14,14,4,We need a CloudFormation template that creates a single Elastic Network Interface (ENI) with two Elastic IPs (EIPs) and secondary private IPs which enables a single EC2 instance (not explicitly defined) to handle multiple public-facing IP addresses through one network interface.,Data\groud_truth\template\SingleENIwithMultipleEIPs.yaml,"Data\user_intent\row_14A.yaml, user_intent\row_14B.yaml ",UIV_CUSTOM_ROW_14A;UIV_CUSTOM_ROW_14B,False,2,,UIV_CUSTOM_ROW_14A;UIV_CUSTOM_ROW_14B,0,0,False,,[],[]
18,18,3,"We need a CloudFormation template that creates an integration between DynamoDB streams and Amazon EventBridge to automate event-driven workflows based on specific data changes. The template must configure an EventBridge Pipe to filter DynamoDB stream events (e.g., when a user's 'avatarUrl' field ends with '.png') and route matching events to the bus with predefined metadata (`DetailType` and `Source`). ",Data\groud_truth\template\dynamodb_with_eventbridge.yaml,Data\user_intent\row_18.yaml,UIV_CUSTOM_ROW_18,False,1,,UIV_CUSTOM_ROW_18,0,0,False,,[],[]
20,20,5,"We need a CloudFormation template that creates a CloudWatch Dashboard and a set of CloudWatch Logs Insights queries to monitor and analyze AWS Client VPN usage patterns. The solution should aggregate metrics such as connection durations, data transfer volumes (ingress/egress), and user activity across different authentication methods (AD/SAML, Mutual Auth, and Mixed Auth). The template must organize queries into a logical folder structure and display results in a centralized dashboard with tables showing endpoint-specific usage, distinct user statistics, and authentication-type breakdowns.",Data\groud_truth\template\CloudWatch_Dashboard_ClientVPN.yaml,Data\user_intent\row_20.yaml,UIV_CUSTOM_ROW_20,False,1,,UIV_CUSTOM_ROW_20,0,0,False,,[],[]
27,27,3,"We need a CloudFormation template that creates a real-time data ingestion and storage pipeline using Amazon Kinesis Data Stream and Kinesis Data Firehose, which delivers the data to an S3 bucket. ",Data\groud_truth\template\sam_kinesis.yaml,Data\user_intent\row_27A.yaml,UIV_CUSTOM_ROW_27A,False,1,,UIV_CUSTOM_ROW_27A,0,0,False,,[],[]
30,30,5,"We need a CloudFormation template that creates a EFS file system with cross-AZ EC2 instances and performance monitoring which provides shared storage for applications requiring multi-AZ accessibility. The solution should also launch two EC2 instances in separate AZs with IAM roles granting EFS access and SSM permissions, automating EFS mounting via user data scripts that retry until mount targets are available. Configure CloudWatch alarms to monitor EFS I/O limits and throughput utilization, triggering alerts at 95% I/O limit and 80% throughput thresholds. Note to establish a VPC with public subnets, internet gateway, and network ACLs to support EFS and EC2 connectivity while enforcing security group rules for controlled NFS access. Use cfn-signal and CreationPolicies to ensure instances successfully mount EFS before stack completion, avoiding partial deployments.  ",Data\groud_truth\template\efs-provisioned.yaml,"Data\user_intent\row_30A.yaml, user_intent\row_30B.yaml ",UIV_CUSTOM_ROW_30A;UIV_CUSTOM_ROW_30B,False,2,,UIV_CUSTOM_ROW_30A;UIV_CUSTOM_ROW_30B,0,0,False,,[],[]
