check_id,check_name,severity,short_code,description,service,framework,source_file_url,source_code
AVD-AWS-0002,API Gateway must have cache enabled,MEDIUM,,"Method cache encryption ensures that any sensitive data in the cache is not vulnerable to compromise in the event of interception
",apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/enable_cache_encryption.rego,"# METADATA
# title: API Gateway must have cache enabled
# description: |
#   Method cache encryption ensures that any sensitive data in the cache is not vulnerable to compromise in the event of interception
# scope: package
# schemas:
#   - input: schema[""cloud""]
# custom:
#   id: AWS-0002
#   long_id: aws-apigateway-enable-cache-encryption
#   aliases:
#     - AVD-AWS-0002
#     - enable-cache-encryption
#     - aws-apigateway-enable-cache-encryption
#   provider: aws
#   service: apigateway
#   severity: MEDIUM
#   recommended_action: Enable cache encryption
#   input:
#     selector:
#       - type: cloud
#         subtypes:
#           - service: apigateway
#             provider: aws
#   examples: checks/cloud/aws/apigateway/enable_cache_encryption.yaml
package builtin.aws.apigateway.aws0002

import rego.v1

import data.lib.cloud.metadata
import data.lib.cloud.value

deny contains res if {
	some api in input.aws.apigateway.v1.apis
	isManaged(api)
	some stage in api.stages
	isManaged(stage)
	some settings in stage.restmethodsettings
	isManaged(settings)
	settings.cacheenabled.value
	cache_is_not_encrypted(settings)

	res := result.new(
		""Cache data is not encrypted."",
		metadata.obj_by_path(settings, [""cachedataencrypted""]),
	)
}

cache_is_not_encrypted(settings) if value.is_false(settings.cachedataencrypted)

cache_is_not_encrypted(settings) if not settings.cachedataencrypted
"
AVD-AWS-0001,API Gateway stages for V1 and V2 should have access logging enabled,MEDIUM,,"API Gateway stages should have access log settings block configured to track all access to a particular stage. This should be applied to both v1 and v2 gateway stages.
",apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/enable_access_logging.rego,"# METADATA
# title: API Gateway stages for V1 and V2 should have access logging enabled
# description: |
#   API Gateway stages should have access log settings block configured to track all access to a particular stage. This should be applied to both v1 and v2 gateway stages.
# scope: package
# schemas:
#   - input: schema[""cloud""]
# related_resources:
#   - https://docs.aws.amazon.com/apigateway/latest/developerguide/set-up-logging.html
# custom:
#   id: AWS-0001
#   long_id: aws-apigateway-enable-access-logging
#   aliases:
#     - AVD-AWS-0001
#     - enable-access-logging
#     - aws-apigateway-enable-access-logging
#   provider: aws
#   service: apigateway
#   severity: MEDIUM
#   recommended_action: Enable logging for API Gateway stages
#   input:
#     selector:
#       - type: cloud
#         subtypes:
#           - service: apigateway
#             provider: aws
#   examples: checks/cloud/aws/apigateway/enable_access_logging.yaml
package builtin.aws.apigateway.aws0001

import rego.v1

import data.lib.cloud.metadata
import data.lib.cloud.value

deny contains res if {
	some stage in input.aws.apigateway.v1.apis[_].stages
	logging_is_not_configured(stage)
	res := result.new(
		""Access logging is not configured."",
		metadata.obj_by_path(stage, [""accesslogging"", ""cloudwatchloggrouparn""]),
	)
}

deny contains res if {
	some stage in input.aws.apigateway.v2.apis[_].stages
	logging_is_not_configured(stage)
	res := result.new(
		""Access logging is not configured."",
		metadata.obj_by_path(stage, [""accesslogging"", ""cloudwatchloggrouparn""]),
	)
}

logging_is_not_configured(stage) if {
	isManaged(stage)
	value.is_empty(stage.accesslogging.cloudwatchloggrouparn)
}

logging_is_not_configured(stage) if not stage.accesslogging.cloudwatchloggrouparn
"
AVD-AWS-0190,Ensure that response caching is enabled for your Amazon API Gateway REST APIs.,LOW,,"A REST API in API Gateway is a collection of resources and methods that are integrated with backend HTTP endpoints, Lambda functions, or other AWS services. You can enable API caching in Amazon API Gateway to cache your endpoint responses. With caching, you can reduce the number of calls made to your endpoint and also improve the latency of requests to your API.
",apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/enable_cache.rego,"# METADATA
# title: Ensure that response caching is enabled for your Amazon API Gateway REST APIs.
# description: |
#   A REST API in API Gateway is a collection of resources and methods that are integrated with backend HTTP endpoints, Lambda functions, or other AWS services. You can enable API caching in Amazon API Gateway to cache your endpoint responses. With caching, you can reduce the number of calls made to your endpoint and also improve the latency of requests to your API.
# scope: package
# schemas:
#   - input: schema[""cloud""]
# related_resources:
#   - https://docs.aws.amazon.com/apigateway/latest/developerguide/api-gateway-caching.html
# custom:
#   id: AWS-0190
#   long_id: aws-apigateway-enable-cache
#   aliases:
#     - AVD-AWS-0190
#     - enable-cache
#     - aws-apigateway-enable-cache
#   provider: aws
#   service: apigateway
#   severity: LOW
#   recommended_action: Enable cache
#   input:
#     selector:
#       - type: cloud
#         subtypes:
#           - service: apigateway
#             provider: aws
#   examples: checks/cloud/aws/apigateway/enable_cache.yaml
package builtin.aws.apigateway.aws0190

import rego.v1

import data.lib.cloud.metadata
import data.lib.cloud.value

deny contains res if {
	some api in input.aws.apigateway.v1.apis
	isManaged(api)
	some stage in api.stages
	isManaged(stage)
	some settings in stage.restmethodsettings
	isManaged(settings)
	cache_is_not_enabled(settings)
	res := result.new(
		""Cache data is not enabled."",
		metadata.obj_by_path(settings, [""cacheenabled""]),
	)
}

cache_is_not_enabled(settings) if value.is_false(settings.cacheenabled)

cache_is_not_enabled(settings) if not settings.cacheenabled
"
AVD-AWS-0003,API Gateway must have X-Ray tracing enabled,LOW,,"X-Ray tracing enables end-to-end debugging and analysis of all API Gateway HTTP requests.
",apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/enable_tracing.rego,"# METADATA
# title: API Gateway must have X-Ray tracing enabled
# description: |
#   X-Ray tracing enables end-to-end debugging and analysis of all API Gateway HTTP requests.
# scope: package
# schemas:
#   - input: schema[""cloud""]
# custom:
#   id: AWS-0003
#   long_id: aws-apigateway-enable-tracing
#   aliases:
#     - AVD-AWS-0003
#     - enable-tracing
#     - aws-apigateway-enable-tracing
#   provider: aws
#   service: apigateway
#   severity: LOW
#   recommended_action: Enable tracing
#   input:
#     selector:
#       - type: cloud
#         subtypes:
#           - service: apigateway
#             provider: aws
#   examples: checks/cloud/aws/apigateway/enable_tracing.yaml
package builtin.aws.apigateway.aws0003

import rego.v1

import data.lib.cloud.metadata
import data.lib.cloud.value

deny contains res if {
	some api in input.aws.apigateway.v1.apis
	isManaged(api)
	some stage in api.stages
	isManaged(stage)
	tracing_is_not_enabled(stage)
	res := result.new(
		""X-Ray tracing is not enabled."",
		metadata.obj_by_path(stage, [""xraytracingenabled""]),
	)
}

tracing_is_not_enabled(stage) if value.is_false(stage.xraytracingenabled)

tracing_is_not_enabled(stage) if not stage.xraytracingenabled
"
AVD-AWS-0175,Enable IAM Access analyzer for IAM policies about all resources in each region.,LOW,,"AWS IAM Access Analyzer helps you identify the resources in your organization and
accounts, such as Amazon S3 buckets or IAM roles, that are shared with an external entity.
This lets you identify unintended access to your resources and data. Access Analyzer
identifies resources that are shared with external principals by using logic-based reasoning
to analyze the resource-based policies in your AWS environment. IAM Access Analyzer
continuously monitors all policies for S3 bucket, IAM roles, KMS(Key Management Service)
keys, AWS Lambda functions, and Amazon SQS(Simple Queue Service) queues.
",accessanalyzer,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/accessanalyzer/enable_access_analyzer.rego,"# METADATA
# title: Enable IAM Access analyzer for IAM policies about all resources in each region.
# description: |
#   AWS IAM Access Analyzer helps you identify the resources in your organization and
#   accounts, such as Amazon S3 buckets or IAM roles, that are shared with an external entity.
#   This lets you identify unintended access to your resources and data. Access Analyzer
#   identifies resources that are shared with external principals by using logic-based reasoning
#   to analyze the resource-based policies in your AWS environment. IAM Access Analyzer
#   continuously monitors all policies for S3 bucket, IAM roles, KMS(Key Management Service)
#   keys, AWS Lambda functions, and Amazon SQS(Simple Queue Service) queues.
# scope: package
# schemas:
#   - input: schema[""cloud""]
# related_resources:
#   - https://docs.aws.amazon.com/IAM/latest/UserGuide/what-is-access-analyzer.html
# custom:
#   id: AWS-0175
#   long_id: aws-accessanalyzer-enable-access-analyzer
#   aliases:
#     - AVD-AWS-0175
#     - enable-access-analyzer
#     - aws-accessanalyzer-enable-access-analyzer
#   provider: aws
#   service: accessanalyzer
#   severity: LOW
#   deprecated: true
#   recommended_action: Enable IAM Access analyzer across all regions.
#   frameworks:
#     cis-aws-1.4:
#       - ""1.20""
#   input:
#     selector:
#       - type: cloud
#         subtypes:
#           - service: accessanalyzer
#             provider: aws
package builtin.aws.accessanalyzer.aws0175

import rego.v1

deny contains res if {
	not has_active_analyzer
	res := result.new(""Access Analyzer is not enabled."", {})
}

has_active_analyzer if {
	some analyzer in input.aws.accessanalyzer.analyzers
	analyzer.active.value
}
"
AVD-AWS-0004,No unauthorized access to API Gateway methods,LOW,,"API Gateway methods should generally be protected by authorization or api key. OPTION verb calls can be used without authorization
",apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/no_public_access.rego,"# METADATA
# title: No unauthorized access to API Gateway methods
# description: |
#   API Gateway methods should generally be protected by authorization or api key. OPTION verb calls can be used without authorization
# scope: package
# schemas:
#   - input: schema[""cloud""]
# custom:
#   id: AWS-0004
#   long_id: aws-apigateway-no-public-access
#   aliases:
#     - AVD-AWS-0004
#     - no-public-access
#     - aws-apigateway-no-public-access
#   provider: aws
#   service: apigateway
#   severity: LOW
#   recommended_action: Use and authorization method or require API Key
#   input:
#     selector:
#       - type: cloud
#         subtypes:
#           - service: apigateway
#             provider: aws
#   examples: checks/cloud/aws/apigateway/no_public_access.yaml
package builtin.aws.apigateway.aws0004

import rego.v1

import data.lib.cloud.value

authorization_none := ""NONE""

deny contains res if {
	some api in input.aws.apigateway.v1.apis
	isManaged(api)
	some method in api.resources[_].methods
	method_is_not_option(method)
	apikey_is_not_required(method)
	method.authorizationtype.value == authorization_none
	res := result.new(""Authorization is not enabled for this method."", method.authorizationtype)
}

method_is_not_option(method) if value.is_not_equal(method.httpmethod, ""OPTION"")

method_is_not_option(method) if not method.httpmethod

apikey_is_not_required(api) if value.is_false(api.apikeyrequired)

apikey_is_not_required(api) if not api.apikeyrequired
"
AVD-AWS-0005,API Gateway domain name uses outdated SSL/TLS protocols.,HIGH,,"You should not use outdated/insecure TLS versions for encryption. You should be using TLS v1.2+.
",apigateway,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/apigateway/use_secure_tls_policy.rego,"# METADATA
# title: API Gateway domain name uses outdated SSL/TLS protocols.
# description: |
#   You should not use outdated/insecure TLS versions for encryption. You should be using TLS v1.2+.
# scope: package
# schemas:
#   - input: schema[""cloud""]
# related_resources:
#   - https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-custom-domain-tls-version.html
#   - https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-security-policies-list.html
# custom:
#   id: AWS-0005
#   long_id: aws-apigateway-use-secure-tls-policy
#   aliases:
#     - AVD-AWS-0005
#     - use-secure-tls-policy
#     - aws-apigateway-use-secure-tls-policy
#   provider: aws
#   service: apigateway
#   severity: HIGH
#   recommended_action: Use the most modern TLS/SSL policies available
#   input:
#     selector:
#       - type: cloud
#         subtypes:
#           - service: apigateway
#             provider: aws
#   examples: checks/cloud/aws/apigateway/use_secure_tls_policy.yaml
package builtin.aws.apigateway.aws0005

import rego.v1

import data.lib.cloud.metadata

policies := [""TLS_1_2"", ""SecurityPolicy_TLS12_*_EDGE"", ""SecurityPolicy_TLS13_*""]

deny contains res if {
	some domain in input.aws.apigateway.v1.domainnames
	not is_SecurityPolicy_TLS12(domain)
	res := result.new(
		""Domain name is configured with an outdated TLS policy."",
		metadata.obj_by_path(domain, ""securitypolicy""),
	)
}

deny contains res if {
	some domain in input.aws.apigateway.v2.domainnames
	not is_SecurityPolicy_TLS12(domain)
	res := result.new(
		""Domain name is configured with an outdated TLS policy."",
		metadata.obj_by_path(domain, ""securitypolicy""),
	)
}

is_SecurityPolicy_TLS12(domain) if {
	some p in policies
	glob.match(p, [], domain.securitypolicy.value)
}
"
AVD-AWS-0006,"Athena databases and workgroup configurations are created unencrypted at rest by default, they should be encrypted",HIGH,,"Data can be read if the Athena Database is compromised. Athena databases and workspace result sets should be encrypted at rests. These databases and query sets are generally derived from data in S3 buckets and should have the same level of at rest protection.
",athena,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/athena/enable_at_rest_encryption.rego,"# METADATA
# title: Athena databases and workgroup configurations are created unencrypted at rest by default, they should be encrypted
# description: |
#   Data can be read if the Athena Database is compromised. Athena databases and workspace result sets should be encrypted at rests. These databases and query sets are generally derived from data in S3 buckets and should have the same level of at rest protection.
# scope: package
# schemas:
#   - input: schema[""cloud""]
# related_resources:
#   - https://docs.aws.amazon.com/athena/latest/ug/encryption.html
# custom:
#   id: AWS-0006
#   long_id: aws-athena-enable-at-rest-encryption
#   aliases:
#     - AVD-AWS-0006
#     - enable-at-rest-encryption
#     - aws-athena-enable-at-rest-encryption
#   provider: aws
#   service: athena
#   severity: HIGH
#   recommended_action: Enable encryption at rest for Athena databases and workgroup configurations
#   input:
#     selector:
#       - type: cloud
#         subtypes:
#           - service: athena
#             provider: aws
#   examples: checks/cloud/aws/athena/enable_at_rest_encryption.yaml
package builtin.aws.athena.aws0006

import rego.v1

import data.lib.cloud.metadata
import data.lib.cloud.value

encryption_type_none := """"

deny contains res if {
	some workgroup in input.aws.athena.workgroups
	not_encrypted(workgroup)
	res := result.new(
		""Workgroup does not have encryption configured."",
		metadata.obj_by_path(workgroup, [""encryption"", ""type""]),
	)
}

deny contains res if {
	some database in input.aws.athena.databases
	not_encrypted(database)
	res := result.new(
		""Database does not have encryption configured."",
		metadata.obj_by_path(database, [""encryption"", ""type""]),
	)
}

not_encrypted(encryptable) if value.is_equal(encryptable.encryption.type, encryption_type_none)

not_encrypted(encryptable) if not encryptable.encryption.type
"
AVD-AWS-0010,Cloudfront distribution should have Access Logging configured,MEDIUM,,"You should configure CloudFront Access Logging to create log files that contain detailed information about every user request that CloudFront receives
",cloudfront,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/cloudfront/enable_logging.rego,"# METADATA
# title: Cloudfront distribution should have Access Logging configured
# description: |
#   You should configure CloudFront Access Logging to create log files that contain detailed information about every user request that CloudFront receives
# scope: package
# schemas:
#   - input: schema[""cloud""]
# related_resources:
#   - https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/AccessLogs.html
# custom:
#   id: AWS-0010
#   long_id: aws-cloudfront-enable-logging
#   aliases:
#     - AVD-AWS-0010
#     - enable-logging
#     - aws-cloudfront-enable-logging
#   provider: aws
#   service: cloudfront
#   severity: MEDIUM
#   recommended_action: Enable logging for CloudFront distributions
#   input:
#     selector:
#       - type: cloud
#         subtypes:
#           - service: cloudfront
#             provider: aws
#   examples: checks/cloud/aws/cloudfront/enable_logging.yaml
package builtin.aws.cloudfront.aws0010

import rego.v1

import data.lib.cloud.metadata
import data.lib.cloud.value

deny contains res if {
	some dist in input.aws.cloudfront.distributions
	without_logging_bucket(dist)
	res := result.new(
		""Distribution does not have logging enabled"",
		metadata.obj_by_path(dist, [""logging"", ""bucket""]),
	)
}

without_logging_bucket(dist) if value.is_empty(dist.logging.bucket)

without_logging_bucket(dist) if not dist.logging.bucket
"
AVD-AWS-0007,Athena workgroups should enforce configuration to prevent client disabling encryption,HIGH,,"Clients can ignore encryption requirements without enforced configuration. Athena workgroup configuration should be enforced to prevent client side changes to disable encryption settings.
",athena,cloudformation,https://raw.githubusercontent.com/aquasecurity/trivy-checks/main/checks/cloud/aws/athena/no_encryption_override.rego,"# METADATA
# title: Athena workgroups should enforce configuration to prevent client disabling encryption
# description: |
#   Clients can ignore encryption requirements without enforced configuration. Athena workgroup configuration should be enforced to prevent client side changes to disable encryption settings.
# scope: package
# schemas:
#   - input: schema[""cloud""]
# related_resources:
#   - https://docs.aws.amazon.com/athena/latest/ug/manage-queries-control-costs-with-workgroups.html
# custom:
#   id: AWS-0007
#   long_id: aws-athena-no-encryption-override
#   aliases:
#     - AVD-AWS-0007
#     - no-encryption-override
#     - aws-athena-no-encryption-override
#   provider: aws
#   service: athena
#   severity: HIGH
#   recommended_action: Enforce the configuration to prevent client overrides
#   input:
#     selector:
#       - type: cloud
#         subtypes:
#           - service: athena
#             provider: aws
#   examples: checks/cloud/aws/athena/no_encryption_override.yaml
package builtin.aws.athena.aws0007

import rego.v1

import data.lib.cloud.metadata

deny contains res if {
	some workgroup in input.aws.athena.workgroups
	not workgroup.enforceconfiguration.value
	res := result.new(
		""The workgroup configuration is not enforced."",
		metadata.obj_by_path(workgroup, [""enforceconfiguration""]),
	)
}
"
