row_number,prompt,ground_truth_path,final_template_path,success,failure_reason,error_message,failed_at_stage,total_iterations,highest_feedback_level,coverage_percentage,accuracy_percentage
18,"We need a CloudFormation template that creates an integration between DynamoDB streams and Amazon EventBridge to automate event-driven workflows based on specific data changes. The template must configure an EventBridge Pipe to filter DynamoDB stream events (e.g., when a user's 'avatarUrl' field ends with '.png') and route matching events to the bus with predefined metadata (`DetailType` and `Source`). ",../Data/groud_truth/template/dynamodb_with_eventbridge.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_18_update_8_template_20260228_211451.yaml,True,,,,8,moderate,75.0,100.0
19,"We need a CloudFormation template that creates an Amazon EventBridge configuration to route custom events to an external API endpoint via HTTPS. The template should deploy an EventBridge event bus, an API destination ('https://webhook.site/testtest'), and a connection secured by an API key for authentication. ",../Data/groud_truth/template/eventbridge.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_19_update_4_template_20260228_212122.yaml,True,,,,4,moderate,80.0,66.66666666666666
20,"We need a CloudFormation template that creates a CloudWatch Dashboard and a set of CloudWatch Logs Insights queries to monitor and analyze AWS Client VPN usage patterns. The solution should aggregate metrics such as connection durations, data transfer volumes (ingress/egress), and user activity across different authentication methods (AD/SAML, Mutual Auth, and Mixed Auth). The template must organize queries into a logical folder structure and display results in a centralized dashboard with tables showing endpoint-specific usage, distinct user statistics, and authentication-type breakdowns.",../Data/groud_truth/template/CloudWatch_Dashboard_ClientVPN.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_20_update_1_template_20260228_212227.yaml,True,,,,1,,42.857142857142854,100.0
21,"We need a CloudFormation template that creates an Amazon Timestream database and tables with configurable retention policies and error handling. The template should define four tables (poc-table-01-batch-write, poc-table-02-older-records-memonly, poc-table-03-older-records-magnetic, poc-table-04-common-attributes).",../Data/groud_truth/template/ts_tables.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_21_update_18_template_20260228_220547.yaml,False,max_stage_error_attempts_exceeded,"[{'resource': 'TimestreamDatabase', 'message': ""Additional properties are not allowed ('EncryptionConfig' was unexpected)"", 'line_number': 114, 'rule_description': 'Making sure that resources properties are properly configured', 'documentation': 'https://github.com/aws-cloudformation/cfn-lint/blob/main/docs/cfn-schema-specification.md#properties'}, {'resource': 'Table01BatchWrite', 'message': ""Additional properties are not allowed ('EncryptionOption' was unexpected)"", 'line_number': 122, 'rule_description': 'Making sure that resources properties are properly configured', 'documentation': 'https://github.com/aws-cloudformation/cfn-lint/blob/main/docs/cfn-schema-specification.md#properties'}, {'resource': 'Table01BatchWrite', 'message': ""'EncryptionOption' is a required property"", 'line_number': 131, 'rule_description': 'Make sure that Resources properties that are required exist', 'documentation': 'https://github.com/aws-cloudformation/cfn-lint/blob/main/docs/cfn-schema-specification.md#required'}, {'resource': 'Table02MemoryOnly', 'message': ""Additional properties are not allowed ('EncryptionOption' was unexpected)"", 'line_number': 140, 'rule_description': 'Making sure that resources properties are properly configured', 'documentation': 'https://github.com/aws-cloudformation/cfn-lint/blob/main/docs/cfn-schema-specification.md#properties'}, {'resource': 'Table02MemoryOnly', 'message': ""'EncryptionOption' is a required property"", 'line_number': 149, 'rule_description': 'Make sure that Resources properties that are required exist', 'documentation': 'https://github.com/aws-cloudformation/cfn-lint/blob/main/docs/cfn-schema-specification.md#required'}, {'resource': 'Table03MagneticFocused', 'message': ""Additional properties are not allowed ('EncryptionOption' was unexpected)"", 'line_number': 158, 'rule_description': 'Making sure that resources properties are properly configured', 'documentation': 'https://github.com/aws-cloudformation/cfn-lint/blob/main/docs/cfn-schema-specification.md#properties'}, {'resource': 'Table03MagneticFocused', 'message': ""'EncryptionOption' is a required property"", 'line_number': 167, 'rule_description': 'Make sure that Resources properties that are required exist', 'documentation': 'https://github.com/aws-cloudformation/cfn-lint/blob/main/docs/cfn-schema-specification.md#required'}, {'resource': 'Table04CommonAttributes', 'message': ""Additional properties are not allowed ('EncryptionOption' was unexpected)"", 'line_number': 176, 'rule_description': 'Making sure that resources properties are properly configured', 'documentation': 'https://github.com/aws-cloudformation/cfn-lint/blob/main/docs/cfn-schema-specification.md#properties'}, {'resource': 'Table04CommonAttributes', 'message': ""'EncryptionOption' is a required property"", 'line_number': 185, 'rule_description': 'Make sure that Resources properties that are required exist', 'documentation': 'https://github.com/aws-cloudformation/cfn-lint/blob/main/docs/cfn-schema-specification.md#required'}]",syntax_validation,18,moderate,,
22,We need a CloudFormation template that creates a DynamoDB table with local and global secondary indexes.,../Data/groud_truth/template/DynamoDB_Secondary_Indexes.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_22_update_1_template_20260228_220706.yaml,True,,,,1,,100.0,100.0
23,We need a CloudFormation template that creates a DynamoDB table. ,../Data/groud_truth/template/DynamoDB_Table.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_23_update_1_template_20260228_220817.yaml,True,,,,1,,100.0,100.0
24,"We need a CloudFormation template that creates a VPC containing two subnets and an auto scaling group containing instances with Internet access and ElastiCache configured with automated snapshot management and failover capabilities. It must allow optional configuration of snapshot retention policies, with a Lambda function and IAM role to enable/disable snapshotting dynamically. The template should enforce minimal infrastructure costs by defaulting to the `cache.m3.medium` instance type and include regional AZ mappings for subnet placement. ",../Data/groud_truth/template/Elasticache-snapshot.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_24_update_12_template_20260228_223605.yaml,False,max_stage_error_attempts_exceeded,"[{'resource': 'LaunchTemplate', 'message': ""'Fn::Sub' isn't needed because there are no variables"", 'line_number': 119, 'rule_description': 'Checks sub strings to see if a variable is defined.', 'documentation': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/intrinsic-function-reference-sub.html'}]",syntax_validation,12,moderate,,
25,"We need a CloudFormation template that creates an IoT data pipeline to route messages from AWS IoT Core to an SQS queue via SNS. The template should deploy an SQS queue to store messages, an SNS topic to act as a pub/sub intermediary, and an IoT Rule to capture messages from the `device/data` MQTT topic. ",../Data/groud_truth/template/iot_sns_sqs.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_25_update_11_template_20260228_225311.yaml,False,max_stage_error_attempts_exceeded,"[{'resource': 'IoTDataRule', 'message': ""'RoleArn' is a required property"", 'line_number': 56, 'rule_description': 'Make sure that Resources properties that are required exist', 'documentation': 'https://github.com/aws-cloudformation/cfn-lint/blob/main/docs/cfn-schema-specification.md#required'}, {'resource': 'IoTDataRule', 'message': ""Additional properties are not allowed ('RoleArn' was unexpected)"", 'line_number': 59, 'rule_description': 'Making sure that resources properties are properly configured', 'documentation': 'https://github.com/aws-cloudformation/cfn-lint/blob/main/docs/cfn-schema-specification.md#properties'}]",syntax_validation,11,moderate,,
26,"We need a CloudFormation template that creates an S3 bucket integrated with Amazon EventBridge and SNS to notify subscribers about object creation events. The template should deploy an S3 bucket configured to send events to EventBridge, an SNS topic for message distribution, and an EventBridge rule that triggers on `Object Created` events from the bucket.",../Data/groud_truth/template/s3_sns.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_26_update_4_template_20260228_230303.yaml,True,,,,4,moderate,100.0,100.0
27,"We need a CloudFormation template that creates a real-time data ingestion and storage pipeline using Amazon Kinesis Data Stream and Kinesis Data Firehose, which delivers the data to an S3 bucket. ",../Data/groud_truth/template/sam_kinesis.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_27_update_8_template_20260228_231651.yaml,True,,,,8,moderate,80.0,80.0
