row_number,ground_truth_path,prompt
0,Data\groud_truth\template\sqs_easy.yaml,We need a CloudFormation template that creates an AWS SQS queue with basic configuration.
1,Data\groud_truth\template\sns_easy.yaml,"We need a CloudFormation template that creates an AWS SNS with notification sending to email ""test@test.com""."
2,Data\groud_truth\template\s3_easy.yaml,We need a CloudFormation template that creates an Amazon S3 bucket with defaults
3,Data\groud_truth\template\s3_webhost_and_deletion_policy.yaml,We need a CloudFormation template that creates an Amazon S3 bucket for website hosting and with a DeletionPolicy
4,Data\groud_truth\template\ec2_easy.yaml,We need a CloudFormation template that creates an EC2 instance with the latest Amazon Linux 2 AMI
5,Data\groud_truth\template\DynamoDB_easy.yaml,"We need a CloudFormation template that creates a DynamoDB table about ArtistId, Concert, and TicketSales."
6,Data\groud_truth\template\EC2InstanceWithSecurityGroupSample.yaml,We need a CloudFormation template that creates an EC2 instance with Security Group that is able to deploy on AWS successfully.
7,Data\groud_truth\template\virtualmachine.yaml,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`) with secure remote management capabilities using AWS Systems Manager (SSM). The solution uses region-specific AMIs for compatibility and attaches a minimal security group to the instance. 
8,Data\groud_truth\template\CloudWatch_Dashboard_NAT_FlowLogs.yaml,"We need a CloudFormation template that creates a CloudWatch Dashboard with four CloudWatch Logs Insights log widgets that query VPC flow logs for NAT Gateway. The solution should iclude widgets for top source IPs by outbound traffic and rejected connections, using CloudWatch Logs Insights queries to filter and aggregate NAT Gateway-specific data (`interfaceId like 'eni-'`).  "
9,Data\groud_truth\template\EFS_encrypted_one_zone.yaml,We need a CloudFormation template that creates an encrypted One Zone file system in the us-east-1a Availability Zone.
10,Data\groud_truth\template\EC2_Instance_With_Ephemeral_Drives.yaml,We need a CloudFormation template that creates an EC2 instance with ephemeral drives attached using EC2 block device mappings that is able to deploy on AWS successfully. This template should automatically fetch the latest Amazon Linux 2 AMI via SSM Parameter Store and create an SSH key pair for secure access. Note the template should deploy the EC2 in pre-exist default vpc/subnet.
11,Data\groud_truth\template\dynamo.yaml,We need a CloudFormation template that creates a DynamoDB table for mobile notifications reporting. The DynamoDB table should has a global secondary index on `type` and `sentTime` for time-based queries. Configure pay-per-request billing for cost efficiency with unpredictable workloads and TTL auto-expiry for automatic cleanup of stale data. 
12,Data\groud_truth\template\EIP_With_Association.yaml,We need a CloudFormation template that creates an EC2 instance with an Elastic IP address and SSH access controls associated that is able to deploy on AWS successfully. Note the EC2 instance can just create in the default vpc/subnet.
13,Data\groud_truth\template\InstanceWithCfnInit.yaml,"We need a CloudFormation template that creates EC2 instance with cfn-init and cfn-signal that is able to deploy on AWS successfully. The solution should deploy an EC2 instance preconfigured with Apache HTTP Server via `cfn-init` package installation and service setup. Automate web server initialization by creating a sample `index.html` page and configuring `cfn-hup` for metadata updates, enabling automatic reconfiguration if stack parameters change. Use a CreationPolicy with ResourceSignal to pause stack creation until `cfn-signal` confirms successful instance bootstrapping (timeout: 5 minutes), preventing incomplete deployments.  "
14,Data\groud_truth\template\SingleENIwithMultipleEIPs.yaml,We need a CloudFormation template that creates a single Elastic Network Interface (ENI) with two Elastic IPs (EIPs) and secondary private IPs which enables a single EC2 instance (not explicitly defined) to handle multiple public-facing IP addresses through one network interface.
15,Data\groud_truth\template\apigateway_lambda_integration.yaml,We need a CloudFormation template that creates an API Gateway with lambda non-proxy integration for RESTApi that is able to deploy on AWS successfully.
16,Data\groud_truth\template\glue-for-cloudtrail.yaml,"We need a CloudFormation template that creates AWS Glue resources for crawling and cataloging CloudTrail logs stored in S3 which attempts to enable structured querying via Athena. The solution should deploy a Glue Database and Crawler to analyze CloudTrail logs in an S3 bucket (`s3://kk-admin/cloud-trail/AWSLogs/`), automatically inferring schemas and creating metadata tables. Define crawler settings to handle schema updates and prefix tables with `cloudtrail_` for organizational clarity.  "
17,Data\groud_truth\template\billing-alarms.yaml,"We need a CloudFormation template that creates multi-threshold AWS billing alarms using CloudWatch and SNS which monitor monthly AWS costs and send email alerts when spending exceeds predefined levels. The solution should deploy four CloudWatch alarms tracking the `EstimatedCharges` metric, triggering at $5, $10, $20, and $40 thresholds respectively. Configure an SNS topic with an email subscription to notify email address (xxxxx@gmail.com) when any alarm threshold is breached. Please monitor charges with alarms evaluated every 6 hours to balance responsiveness and noise reduction. "
18,Data\groud_truth\template\dynamodb_with_eventbridge.yaml,"We need a CloudFormation template that creates an integration between DynamoDB streams and Amazon EventBridge to automate event-driven workflows based on specific data changes. The template must configure an EventBridge Pipe to filter DynamoDB stream events (e.g., when a user's 'avatarUrl' field ends with '.png') and route matching events to the bus with predefined metadata (`DetailType` and `Source`). "
19,Data\groud_truth\template\eventbridge.yaml,"We need a CloudFormation template that creates an Amazon EventBridge configuration to route custom events to an external API endpoint via HTTPS. The template should deploy an EventBridge event bus, an API destination ('https://webhook.site/testtest'), and a connection secured by an API key for authentication. "
20,Data\groud_truth\template\CloudWatch_Dashboard_ClientVPN.yaml,"We need a CloudFormation template that creates a CloudWatch Dashboard and a set of CloudWatch Logs Insights queries to monitor and analyze AWS Client VPN usage patterns. The solution should aggregate metrics such as connection durations, data transfer volumes (ingress/egress), and user activity across different authentication methods (AD/SAML, Mutual Auth, and Mixed Auth). The template must organize queries into a logical folder structure and display results in a centralized dashboard with tables showing endpoint-specific usage, distinct user statistics, and authentication-type breakdowns."
21,Data\groud_truth\template\ts_tables.yaml,"We need a CloudFormation template that creates an Amazon Timestream database and tables with configurable retention policies and error handling. The template should define four tables (poc-table-01-batch-write, poc-table-02-older-records-memonly, poc-table-03-older-records-magnetic, poc-table-04-common-attributes)."
22,Data\groud_truth\template\DynamoDB_Secondary_Indexes.yaml,We need a CloudFormation template that creates a DynamoDB table with local and global secondary indexes.
23,Data\groud_truth\template\DynamoDB_Table.yaml,We need a CloudFormation template that creates a DynamoDB table. 
24,Data\groud_truth\template\Elasticache-snapshot.yaml,"We need a CloudFormation template that creates a VPC containing two subnets and an auto scaling group containing instances with Internet access and ElastiCache configured with automated snapshot management and failover capabilities. It must allow optional configuration of snapshot retention policies, with a Lambda function and IAM role to enable/disable snapshotting dynamically. The template should enforce minimal infrastructure costs by defaulting to the `cache.m3.medium` instance type and include regional AZ mappings for subnet placement. "
25,Data\groud_truth\template\iot_sns_sqs.yaml,"We need a CloudFormation template that creates an IoT data pipeline to route messages from AWS IoT Core to an SQS queue via SNS. The template should deploy an SQS queue to store messages, an SNS topic to act as a pub/sub intermediary, and an IoT Rule to capture messages from the `device/data` MQTT topic. "
26,Data\groud_truth\template\s3_sns.yaml,"We need a CloudFormation template that creates an S3 bucket integrated with Amazon EventBridge and SNS to notify subscribers about object creation events. The template should deploy an S3 bucket configured to send events to EventBridge, an SNS topic for message distribution, and an EventBridge rule that triggers on `Object Created` events from the bucket."
27,Data\groud_truth\template\sam_kinesis.yaml,"We need a CloudFormation template that creates a real-time data ingestion and storage pipeline using Amazon Kinesis Data Stream and Kinesis Data Firehose, which delivers the data to an S3 bucket. "
28,Data\groud_truth\template\sns_for_secret_manager.yaml,"We need a CloudFormation template that creates an automated monitoring and notification system for AWS Secrets Manager secret lifecycle events, which sends alerts via Amazon SNS when secrets are created, updated, or accessed. "
29,Data\groud_truth\template\parameter-store-demo.yaml,"We need a CloudFormation template that creates secure parameter storage and retrieval workflows using AWS Systems Manager (SSM) Parameter Store and Secrets Manager which demonstrates centralized configuration management for serverless applications. The solution should define SSM Parameters under a stack-specific namespace to store non-sensitive configuration values (e.g., ""This is A/B""). Generate a Secrets Manager secret with a dynamically created password and predefined username, enforcing security constraints (e.g., excluded characters). Deploy a Lambda function to fetch and decrypt parameters/secrets using Boto3, showcasing path-based SSM parameter retrieval and Secrets Manager secret decryption workflows. Attach IAM roles/policies to grant the Lambda permissions for SSM, Secrets Manager, and CloudWatch logging, ensuring least-privilege access."
30,Data\groud_truth\template\efs-provisioned.yaml,"We need a CloudFormation template that creates a EFS file system with cross-AZ EC2 instances and performance monitoring which provides shared storage for applications requiring multi-AZ accessibility. The solution should also launch two EC2 instances in separate AZs with IAM roles granting EFS access and SSM permissions, automating EFS mounting via user data scripts that retry until mount targets are available. Configure CloudWatch alarms to monitor EFS I/O limits and throughput utilization, triggering alerts at 95% I/O limit and 80% throughput thresholds. Note to establish a VPC with public subnets, internet gateway, and network ACLs to support EFS and EC2 connectivity while enforcing security group rules for controlled NFS access. Use cfn-signal and CreationPolicies to ensure instances successfully mount EFS before stack completion, avoiding partial deployments.  "
31,Data\groud_truth\template\codedeploy.yaml,"We need a CloudFormation template that creates an automated deployment pipeline for the Etherpad application using AWS CodeDeploy. The template should deploy Etherpad on EC2 instances within an Auto Scaling group across two subnets, fronted by an internet-facing Application Load Balancer for traffic distribution. It must provision a MySQL RDS instance for database storage and integrate AWS Systems Manager (SSM) for secure parameter storage. The solution should automate instance provisioning with a launch template that installs dependencies (Node.js, CodeDeploy agent) and signals CloudFormation upon readiness. An S3 bucket stores deployment artifacts, while CodeDeploy resources manage application updates. "
32,Data\groud_truth\template\LambdaSample.yaml,We need a CloudFormation template that creates a Lambda sample.
33,Data\groud_truth\template\lab3.1.4.iamrole.yaml,"We need a CloudFormation template that creates IAM roles for EC2 instances with read-only access to IAM metadata, which allows them to retrieve and list IAM resources. The template should define two roles that trust the EC2 service, attach a managed policy granting permissions for `iam:Get*` and `iam:List*` actions across all IAM resources."
34,Data\groud_truth\template\RDS_PIOPS.yaml,"We need a CloudFormation template that creates a MySQL RDS instance (db.r5.large) with Provisioned IOPS (io1 storage) within a VPC. The solution should deploy the database across two private subnets in different Availability Zones using a DB subnet group, with network isolation via a dedicated VPC and a security group restricting access to port 3306 for internal VPC traffic. "
35,Data\groud_truth\template\RDS_Snapshot_On_Delete.yaml,"We need a CloudFormation template that creates MySQL RDS instance (db.t3.micro) with automated snapshots and basic networking infrastructure. The template should deploy the database in a VPC with public subnets across two Availability Zones, using a route table and internet gateway for external connectivity. "
36,Data\groud_truth\template\RDS_with_DBParameterGroup.yaml,We need a CloudFormation template that creates a MySQL RDS instance (db.t3.micro) with a custom parameter group and secure network isolation. The template should deploy the database in a VPC with two subnets across Availability Zones. It must integrate AWS Secrets Manager to securely generate and manage admin credentials. 
37,Data\groud_truth\template\compliant-bucket.yaml,We need a CloudFormation template that creates a secure bucket that passes default security scanning checks. Includes a bucket to store replicas and an access log bucket. Server side encryption is enabled. Public access is disabled. The bucket policy requires secure transport.
38,Data\groud_truth\template\S3_LambdaTrigger.yaml,We need a CloudFormation template that creates a S3 bucket trigger lambda function.
