row_number,prompt,ground_truth_path,final_template_path,success,failure_reason,error_message,failed_at_stage,total_iterations,highest_feedback_level,coverage_percentage,accuracy_percentage
0,We need a CloudFormation template that creates an AWS SQS queue with basic configuration.,../Data/groud_truth/template/sqs_easy.yaml,llm_generated_data/template/iterative/ollama/qwen2.5-coder:7b/row_0_update_1_template_20260306_001659.yaml,True,,,,1,,100.0,100.0
1,"We need a CloudFormation template that creates an AWS SNS with notification sending to email ""test@test.com"".",../Data/groud_truth/template/sns_easy.yaml,llm_generated_data/template/iterative/ollama/qwen2.5-coder:7b/row_1_update_1_template_20260306_001805.yaml,True,,,,1,,100.0,100.0
2,We need a CloudFormation template that creates an Amazon S3 bucket with defaults,../Data/groud_truth/template/s3_easy.yaml,llm_generated_data/template/iterative/ollama/qwen2.5-coder:7b/row_2_update_5_template_20260306_002042.yaml,True,,,,5,moderate,100.0,50.0
3,We need a CloudFormation template that creates an Amazon S3 bucket for website hosting and with a DeletionPolicy,../Data/groud_truth/template/s3_webhost_and_deletion_policy.yaml,llm_generated_data/template/iterative/ollama/qwen2.5-coder:7b/row_3_update_5_template_20260306_002320.yaml,True,,,,5,moderate,50.0,100.0
4,We need a CloudFormation template that creates an EC2 instance with the latest Amazon Linux 2 AMI,../Data/groud_truth/template/ec2_easy.yaml,llm_generated_data/template/iterative/ollama/qwen2.5-coder:7b/row_4_update_11_template_20260306_003248.yaml,False,max_stage_error_attempts_exceeded,"[{'resource': 'InstancePublicIP', 'message': ""'PublicIpAddress' is not one of ['AdditionalInfo', 'Affinity', 'AvailabilityZone', 'BlockDeviceMappings', 'CpuOptions.CoreCount', 'CpuOptions.ThreadsPerCore', 'CreditSpecification.CPUCredits', 'DisableApiTermination', 'EbsOptimized', 'ElasticGpuSpecifications', 'ElasticInferenceAccelerators', 'EnclaveOptions.Enabled', 'HibernationOptions.Configured', 'HostId', 'HostResourceGroupArn', 'IamInstanceProfile', 'ImageId', 'InstanceId', 'InstanceInitiatedShutdownBehavior', 'InstanceType', 'Ipv6AddressCount', 'Ipv6Addresses', 'KernelId', 'KeyName', 'LicenseSpecifications', 'Monitoring', 'NetworkInterfaces', 'PlacementGroupName', 'PrivateDnsName', 'PrivateIp', 'PrivateIpAddress', 'PropagateTagsToVolumeOnCreation', 'PublicDnsName', 'PublicIp', 'RamdiskId', 'SecurityGroupIds', 'SecurityGroups', 'SourceDestCheck', 'SsmAssociations', 'SubnetId', 'Tags', 'Tenancy', 'UserData', 'Volumes', 'VpcId'] in ['us-east-1']"", 'line_number': 27, 'rule_description': 'Make sure that output values have a type of string', 'documentation': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/outputs-section-structure.html'}]",syntax_validation,11,moderate,,
5,"We need a CloudFormation template that creates a DynamoDB table about ArtistId, Concert, and TicketSales.",../Data/groud_truth/template/DynamoDB_easy.yaml,llm_generated_data/template/iterative/ollama/qwen2.5-coder:7b/row_5_update_1_template_20260306_003331.yaml,True,,,,1,,100.0,100.0
6,We need a CloudFormation template that creates an EC2 instance with Security Group that is able to deploy on AWS successfully.,../Data/groud_truth/template/EC2InstanceWithSecurityGroupSample.yaml,llm_generated_data/template/iterative/ollama/qwen2.5-coder:7b/row_6_update_11_template_20260306_005053.yaml,False,max_stage_error_attempts_exceeded,"[{'resource': 'PublicIP', 'message': ""'PublicIpAddress' is not one of ['AdditionalInfo', 'Affinity', 'AvailabilityZone', 'BlockDeviceMappings', 'CpuOptions.CoreCount', 'CpuOptions.ThreadsPerCore', 'CreditSpecification.CPUCredits', 'DisableApiTermination', 'EbsOptimized', 'ElasticGpuSpecifications', 'ElasticInferenceAccelerators', 'EnclaveOptions.Enabled', 'HibernationOptions.Configured', 'HostId', 'HostResourceGroupArn', 'IamInstanceProfile', 'ImageId', 'InstanceId', 'InstanceInitiatedShutdownBehavior', 'InstanceType', 'Ipv6AddressCount', 'Ipv6Addresses', 'KernelId', 'KeyName', 'LicenseSpecifications', 'Monitoring', 'NetworkInterfaces', 'PlacementGroupName', 'PrivateDnsName', 'PrivateIp', 'PrivateIpAddress', 'PropagateTagsToVolumeOnCreation', 'PublicDnsName', 'PublicIp', 'RamdiskId', 'SecurityGroupIds', 'SecurityGroups', 'SourceDestCheck', 'SsmAssociations', 'SubnetId', 'Tags', 'Tenancy', 'UserData', 'Volumes', 'VpcId'] in ['us-east-1']"", 'line_number': 60, 'rule_description': 'Make sure that output values have a type of string', 'documentation': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/outputs-section-structure.html'}]",syntax_validation,11,moderate,,
7,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`) with secure remote management capabilities using AWS Systems Manager (SSM). The solution uses region-specific AMIs for compatibility and attaches a minimal security group to the instance. ,../Data/groud_truth/template/virtualmachine.yaml,llm_generated_data/template/iterative/ollama/qwen2.5-coder:7b/row_7_update_11_template_20260306_011114.yaml,False,max_stage_error_attempts_exceeded,"[{'resource': 'SecurityGroupIngress', 'message': ""'List<Map>' is not an officially documented CloudFormation parameter type. While CloudFormation may accept this type, it will not validate the parameter value."", 'line_number': 12, 'rule_description': 'CloudFormation accepts any AWS::SSM::Parameter::Value<> or List<> pattern, but only validates specific types. Using unsupported types may work but CloudFormation will not validate the parameter values.', 'documentation': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/cloudformation-supplied-parameter-types.html'}, {'resource': 'SecurityGroupIngress', 'message': ""[{'IpProtocol': 'tcp', 'FromPort': 22, 'ToPort': 22, 'CidrIp': '0.0.0.0/0'}] is not of type 'string'"", 'line_number': 14, 'rule_description': 'Making sure the parameters are properly configured', 'documentation': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/parameters-section-structure.html'}, {'resource': 'EC2SecurityGroup', 'message': ""{'Ref': 'SecurityGroupIngress'} is not of type 'array'"", 'line_number': 42, 'rule_description': 'Making sure the Ref has a String value (no other functions are supported)', 'documentation': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/intrinsic-function-reference-ref.html'}, {'resource': 'EC2SecurityGroup', 'message': '""[{\'IpProtocol\': \'tcp\', \'FromPort\': 22, \'ToPort\': 22, \'CidrIp\': \'0.0.0.0/0\'}]"" is not of type \'object\' when \'Ref\' is resolved', 'line_number': 42, 'rule_description': 'Resolve the Ref and then validate the values against the schema', 'documentation': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/intrinsic-function-reference-ref.html'}, {'resource': 'InstancePublicIP', 'message': ""'PublicIpAddress' is not one of ['AdditionalInfo', 'Affinity', 'AvailabilityZone', 'BlockDeviceMappings', 'CpuOptions.CoreCount', 'CpuOptions.ThreadsPerCore', 'CreditSpecification.CPUCredits', 'DisableApiTermination', 'EbsOptimized', 'ElasticGpuSpecifications', 'ElasticInferenceAccelerators', 'EnclaveOptions.Enabled', 'HibernationOptions.Configured', 'HostId', 'HostResourceGroupArn', 'IamInstanceProfile', 'ImageId', 'InstanceId', 'InstanceInitiatedShutdownBehavior', 'InstanceType', 'Ipv6AddressCount', 'Ipv6Addresses', 'KernelId', 'KeyName', 'LicenseSpecifications', 'Monitoring', 'NetworkInterfaces', 'PlacementGroupName', 'PrivateDnsName', 'PrivateIp', 'PrivateIpAddress', 'PropagateTagsToVolumeOnCreation', 'PublicDnsName', 'PublicIp', 'RamdiskId', 'SecurityGroupIds', 'SecurityGroups', 'SourceDestCheck', 'SsmAssociations', 'SubnetId', 'Tags', 'Tenancy', 'UserData', 'Volumes', 'VpcId'] in ['us-east-1']"", 'line_number': 64, 'rule_description': 'Make sure that output values have a type of string', 'documentation': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/outputs-section-structure.html'}]",syntax_validation,11,moderate,,
8,"We need a CloudFormation template that creates a CloudWatch Dashboard with four CloudWatch Logs Insights log widgets that query VPC flow logs for NAT Gateway. The solution should iclude widgets for top source IPs by outbound traffic and rejected connections, using CloudWatch Logs Insights queries to filter and aggregate NAT Gateway-specific data (`interfaceId like 'eni-'`).  ",../Data/groud_truth/template/CloudWatch_Dashboard_NAT_FlowLogs.yaml,llm_generated_data/template/iterative/ollama/qwen2.5-coder:7b/row_8_update_11_template_20260306_012557.yaml,False,max_stage_error_attempts_exceeded,"[{'resource': 'DashboardURL', 'message': ""'DashboardArn' is not one of [] in ['us-east-1']"", 'line_number': 49, 'rule_description': 'Make sure that output values have a type of string', 'documentation': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/outputs-section-structure.html'}]",syntax_validation,11,moderate,,
9,We need a CloudFormation template that creates an encrypted One Zone file system in the us-east-1a Availability Zone.,../Data/groud_truth/template/EFS_encrypted_one_zone.yaml,llm_generated_data/template/iterative/ollama/qwen2.5-coder:7b/row_9_update_1_template_20260306_012708.yaml,True,,,,1,,33.33333333333333,100.0
