row_index,row_number,matched,difficulty_level,total_required_resources,total_generated_resources,correct_resources,missing_resources,extra_resources,coverage_pct,accuracy_pct,intent_coverage_pct,intent_correct,intent_needed,template_empty,parse_error,gt_missing,ground_truth_path,correct_resource_types,missing_resource_types,extra_resource_types,generated_resource_types,prompt
0,0,True,1,1,1,1,0,0,100.0,100.0,100.0,1,1,False,False,False,Data\groud_truth\template\sqs_easy.yaml,AWS::SQS::Queue,,,AWS::SQS::Queue,We need a CloudFormation template that creates an AWS SQS queue with basic configuration.
1,1,True,1,1,2,1,0,1,100.0,50.0,100.0,1,1,False,False,False,Data\groud_truth\template\sns_easy.yaml,AWS::SNS::Topic,,AWS::SNS::Subscription,AWS::SNS::Topic;AWS::SNS::Subscription,"We need a CloudFormation template that creates an AWS SNS with notification sending to email ""test@test.com""."
2,2,True,1,1,1,1,0,0,100.0,100.0,100.0,1,1,False,False,False,Data\groud_truth\template\s3_easy.yaml,AWS::S3::Bucket,,,AWS::S3::Bucket,We need a CloudFormation template that creates an Amazon S3 bucket with defaults
3,3,True,2,2,2,2,0,0,100.0,100.0,,0,0,False,False,False,Data\groud_truth\template\s3_webhost_and_deletion_policy.yaml,AWS::S3::Bucket;AWS::S3::BucketPolicy,,,AWS::S3::Bucket;AWS::S3::BucketPolicy,We need a CloudFormation template that creates an Amazon S3 bucket for website hosting and with a DeletionPolicy
4,4,True,1,1,9,1,0,8,100.0,11.11,,0,0,False,False,False,Data\groud_truth\template\ec2_easy.yaml,AWS::EC2::Instance,,AWS::EC2::InternetGateway;AWS::EC2::Route;AWS::EC2::Subnet;AWS::EC2::VPCGatewayAttachment;AWS::EC2::RouteTable;AWS::EC2::VPC;AWS::EC2::SecurityGroup;AWS::EC2::SubnetRouteTableAssociation,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::EC2::Instance,We need a CloudFormation template that creates an EC2 instance with the latest Amazon Linux 2 AMI
5,5,True,1,1,1,1,0,0,100.0,100.0,100.0,1,1,False,False,False,Data\groud_truth\template\DynamoDB_easy.yaml,AWS::DynamoDB::Table,,,AWS::DynamoDB::Table,"We need a CloudFormation template that creates a DynamoDB table about ArtistId, Concert, and TicketSales."
6,6,True,2,2,11,2,0,9,100.0,18.18,,0,0,False,False,False,Data\groud_truth\template\EC2InstanceWithSecurityGroupSample.yaml,AWS::EC2::Instance;AWS::EC2::SecurityGroup,,AWS::EC2::InternetGateway;AWS::IAM::InstanceProfile;AWS::EC2::Route;AWS::EC2::Subnet;AWS::EC2::VPCGatewayAttachment;AWS::IAM::Role;AWS::EC2::RouteTable;AWS::EC2::VPC;AWS::EC2::SubnetRouteTableAssociation,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::EC2::Instance,We need a CloudFormation template that creates an EC2 instance with Security Group that is able to deploy on AWS successfully.
7,7,True,3,6,22,6,0,16,100.0,27.27,100.0,6,6,False,False,False,Data\groud_truth\template\virtualmachine.yaml,AWS::IAM::Role;AWS::EC2::Instance;AWS::EC2::VPC;AWS::IAM::InstanceProfile;AWS::EC2::Subnet;AWS::EC2::SecurityGroup,,AWS::EC2::InternetGateway;AWS::EC2::Route;AWS::EC2::Route;AWS::EC2::VPCGatewayAttachment;AWS::EC2::RouteTable;AWS::EC2::RouteTable;AWS::EC2::EIP;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::Subnet;AWS::EC2::NatGateway;AWS::EC2::SecurityGroupIngress;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::SecurityGroup,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::EIP;AWS::EC2::NatGateway;AWS::EC2::RouteTable;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::Route;AWS::EC2::RouteTable;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::Route;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroupIngress;AWS::EC2::SecurityGroup;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::EC2::Instance,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`) with secure remote management capabilities using AWS Systems Manager (SSM). The solution uses region-specific AMIs for compatibility and attaches a minimal security group to the instance. 
8,8,True,2,1,17,1,0,16,100.0,5.88,,0,0,False,False,False,Data\groud_truth\template\CloudWatch_Dashboard_NAT_FlowLogs.yaml,AWS::CloudWatch::Dashboard,,AWS::EC2::InternetGateway;AWS::EC2::Route;AWS::EC2::Route;AWS::EC2::FlowLog;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::VPCGatewayAttachment;AWS::IAM::Role;AWS::Logs::LogGroup;AWS::EC2::RouteTable;AWS::EC2::RouteTable;AWS::EC2::NatGateway;AWS::EC2::VPC;AWS::EC2::EIP;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::EIP;AWS::EC2::NatGateway;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::IAM::Role;AWS::Logs::LogGroup;AWS::EC2::FlowLog;AWS::CloudWatch::Dashboard,"We need a CloudFormation template that creates a CloudWatch Dashboard with four CloudWatch Logs Insights log widgets that query VPC flow logs for NAT Gateway. The solution should iclude widgets for top source IPs by outbound traffic and rejected connections, using CloudWatch Logs Insights queries to filter and aggregate NAT Gateway-specific data (`interfaceId like 'eni-'`).  "
9,9,True,3,6,11,5,1,6,83.33,45.45,100.0,2,2,False,False,False,Data\groud_truth\template\EFS_encrypted_one_zone.yaml,AWS::KMS::Key;AWS::EC2::VPC;AWS::EFS::FileSystem;AWS::EC2::Subnet;AWS::EFS::MountTarget,AWS::EFS::AccessPoint,AWS::EC2::InternetGateway;AWS::EC2::Route;AWS::EC2::VPCGatewayAttachment;AWS::EC2::RouteTable;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::KMS::Key;AWS::EFS::FileSystem;AWS::EFS::MountTarget,We need a CloudFormation template that creates an encrypted One Zone file system in the us-east-1a Availability Zone.
10,10,True,2,3,12,3,0,9,100.0,25.0,,0,0,False,False,False,Data\groud_truth\template\EC2_Instance_With_Ephemeral_Drives.yaml,AWS::EC2::SecurityGroup;AWS::EC2::Instance;AWS::EC2::KeyPair,,AWS::EC2::InternetGateway;AWS::IAM::InstanceProfile;AWS::EC2::Route;AWS::EC2::Subnet;AWS::EC2::VPCGatewayAttachment;AWS::IAM::Role;AWS::EC2::RouteTable;AWS::EC2::VPC;AWS::EC2::SubnetRouteTableAssociation,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::EC2::KeyPair;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::EC2::Instance,We need a CloudFormation template that creates an EC2 instance with ephemeral drives attached using EC2 block device mappings that is able to deploy on AWS successfully. This template should automatically fetch the latest Amazon Linux 2 AMI via SSM Parameter Store and create an SSH key pair for secure access. Note the template should deploy the EC2 in pre-exist default vpc/subnet.
11,11,True,1,1,1,1,0,0,100.0,100.0,100.0,1,1,False,False,False,Data\groud_truth\template\dynamo.yaml,AWS::DynamoDB::Table,,,AWS::DynamoDB::Table,We need a CloudFormation template that creates a DynamoDB table for mobile notifications reporting. The DynamoDB table should has a global secondary index on `type` and `sentTime` for time-based queries. Configure pay-per-request billing for cost efficiency with unpredictable workloads and TTL auto-expiry for automatic cleanup of stale data. 
12,12,True,3,4,12,3,1,9,75.0,25.0,,0,0,False,False,False,Data\groud_truth\template\EIP_With_Association.yaml,AWS::EC2::Instance;AWS::EC2::EIP;AWS::EC2::SecurityGroup,AWS::EC2::EIPAssociation,AWS::EC2::InternetGateway;AWS::EC2::Route;AWS::EC2::VPCGatewayAttachment;AWS::EC2::RouteTable;AWS::EC2::VPC;AWS::EC2::KeyPair;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::Subnet;AWS::EC2::LaunchTemplate,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::EC2::KeyPair;AWS::EC2::LaunchTemplate;AWS::EC2::Instance;AWS::EC2::EIP,We need a CloudFormation template that creates an EC2 instance with an Elastic IP address and SSH access controls associated that is able to deploy on AWS successfully. Note the EC2 instance can just create in the default vpc/subnet.
13,13,True,2,1,11,1,0,10,100.0,9.09,,0,0,False,False,False,Data\groud_truth\template\InstanceWithCfnInit.yaml,AWS::EC2::Instance,,AWS::EC2::InternetGateway;AWS::IAM::InstanceProfile;AWS::EC2::Route;AWS::EC2::Subnet;AWS::EC2::VPCGatewayAttachment;AWS::IAM::Role;AWS::EC2::RouteTable;AWS::EC2::VPC;AWS::EC2::SecurityGroup;AWS::EC2::SubnetRouteTableAssociation,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::EC2::Instance,"We need a CloudFormation template that creates EC2 instance with cfn-init and cfn-signal that is able to deploy on AWS successfully. The solution should deploy an EC2 instance preconfigured with Apache HTTP Server via `cfn-init` package installation and service setup. Automate web server initialization by creating a sample `index.html` page and configuring `cfn-hup` for metadata updates, enabling automatic reconfiguration if stack parameters change. Use a CreationPolicy with ResourceSignal to pause stack creation until `cfn-signal` confirms successful instance bootstrapping (timeout: 5 minutes), preventing incomplete deployments.  "
14,14,True,4,9,13,9,0,4,100.0,69.23,100.0,9,9,False,False,False,Data\groud_truth\template\SingleENIwithMultipleEIPs.yaml,AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::VPC;AWS::EC2::NetworkInterface;AWS::EC2::EIP;AWS::EC2::EIP;AWS::EC2::EIPAssociation;AWS::EC2::EIPAssociation;AWS::EC2::Subnet,,AWS::EC2::Route;AWS::EC2::RouteTable;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::Subnet;AWS::EC2::SecurityGroup;AWS::EC2::NetworkInterface;AWS::EC2::EIP;AWS::EC2::EIP;AWS::EC2::EIPAssociation;AWS::EC2::EIPAssociation,We need a CloudFormation template that creates a single Elastic Network Interface (ENI) with two Elastic IPs (EIPs) and secondary private IPs which enables a single EC2 instance (not explicitly defined) to handle multiple public-facing IP addresses through one network interface.
15,15,True,3,7,7,6,1,1,85.71,85.71,,0,0,False,False,False,Data\groud_truth\template\apigateway_lambda_integration.yaml,AWS::ApiGateway::Resource;AWS::IAM::Role;AWS::Lambda::Permission;AWS::ApiGateway::RestApi;AWS::ApiGateway::Method;AWS::Lambda::Function,AWS::ApiGateway::Model,AWS::ApiGateway::Deployment,AWS::IAM::Role;AWS::Lambda::Function;AWS::ApiGateway::RestApi;AWS::ApiGateway::Resource;AWS::ApiGateway::Method;AWS::Lambda::Permission;AWS::ApiGateway::Deployment,We need a CloudFormation template that creates an API Gateway with lambda non-proxy integration for RESTApi that is able to deploy on AWS successfully.
16,16,True,2,3,7,3,0,4,100.0,42.86,,0,0,False,False,False,Data\groud_truth\template\glue-for-cloudtrail.yaml,AWS::Glue::Database;AWS::IAM::Role;AWS::Glue::Crawler,,AWS::CloudTrail::Trail;AWS::S3::BucketPolicy;AWS::IAM::Role;AWS::S3::Bucket,AWS::S3::Bucket;AWS::S3::BucketPolicy;AWS::IAM::Role;AWS::CloudTrail::Trail;AWS::Glue::Database;AWS::IAM::Role;AWS::Glue::Crawler,"We need a CloudFormation template that creates AWS Glue resources for crawling and cataloging CloudTrail logs stored in S3 which attempts to enable structured querying via Athena. The solution should deploy a Glue Database and Crawler to analyze CloudTrail logs in an S3 bucket (`s3://kk-admin/cloud-trail/AWSLogs/`), automatically inferring schemas and creating metadata tables. Define crawler settings to handle schema updates and prefix tables with `cloudtrail_` for organizational clarity.  "
