row_index,row_number,matched,difficulty_level,total_required_resources,total_generated_resources,correct_resources,missing_resources,extra_resources,coverage_pct,accuracy_pct,intent_coverage_pct,intent_correct,intent_needed,template_empty,parse_error,gt_missing,ground_truth_path,correct_resource_types,missing_resource_types,extra_resource_types,generated_resource_types,prompt
0,1,True,1,1,4,1,0,3,100.0,25.0,100.0,1,1,False,False,False,Data\groud_truth\template\sns_easy.yaml,AWS::SNS::Topic,,AWS::KMS::Alias;AWS::SNS::Subscription;AWS::KMS::Key,AWS::KMS::Key;AWS::KMS::Alias;AWS::SNS::Topic;AWS::SNS::Subscription,"We need a CloudFormation template that creates an AWS SNS with notification sending to email ""test@test.com""."
1,7,True,3,6,11,6,0,5,100.0,54.55,100.0,6,6,False,False,False,Data\groud_truth\template\virtualmachine.yaml,AWS::EC2::VPC;AWS::EC2::Instance;AWS::IAM::Role;AWS::EC2::Subnet;AWS::IAM::InstanceProfile;AWS::EC2::SecurityGroup,,AWS::EC2::VPCGatewayAttachment;AWS::EC2::InternetGateway;AWS::EC2::RouteTable;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::Route,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::EC2::Instance,We need a CloudFormation template that creates a basic EC2 instance (`t3.micro`) with secure remote management capabilities using AWS Systems Manager (SSM). The solution uses region-specific AMIs for compatibility and attaches a minimal security group to the instance. 
2,14,True,4,9,7,7,2,0,77.78,100.0,77.78,7,9,False,False,False,Data\groud_truth\template\SingleENIwithMultipleEIPs.yaml,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::EIPAssociation;AWS::EC2::EIPAssociation;AWS::EC2::EIP;AWS::EC2::EIP;AWS::EC2::NetworkInterface,AWS::EC2::VPCGatewayAttachment;AWS::EC2::InternetGateway,,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::NetworkInterface;AWS::EC2::EIP;AWS::EC2::EIP;AWS::EC2::EIPAssociation;AWS::EC2::EIPAssociation,We need a CloudFormation template that creates a single Elastic Network Interface (ENI) with two Elastic IPs (EIPs) and secondary private IPs which enables a single EC2 instance (not explicitly defined) to handle multiple public-facing IP addresses through one network interface.
3,20,True,5,14,2,1,13,1,7.14,50.0,33.33,1,3,False,False,False,Data\groud_truth\template\CloudWatch_Dashboard_ClientVPN.yaml,AWS::CloudWatch::Dashboard,AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition;AWS::Logs::QueryDefinition,AWS::Logs::LogGroup,AWS::Logs::LogGroup;AWS::CloudWatch::Dashboard,"We need a CloudFormation template that creates a CloudWatch Dashboard and a set of CloudWatch Logs Insights queries to monitor and analyze AWS Client VPN usage patterns. The solution should aggregate metrics such as connection durations, data transfer volumes (ingress/egress), and user activity across different authentication methods (AD/SAML, Mutual Auth, and Mixed Auth). The template must organize queries into a logical folder structure and display results in a centralized dashboard with tables showing endpoint-specific usage, distinct user statistics, and authentication-type breakdowns."
4,30,True,5,25,37,25,0,12,100.0,67.57,100.0,25,25,False,False,False,Data\groud_truth\template\efs-provisioned.yaml,AWS::EC2::Instance;AWS::EC2::Instance;AWS::EC2::RouteTable;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::IAM::InstanceProfile;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EC2::Route;AWS::EFS::MountTarget;AWS::EFS::MountTarget;AWS::EC2::VPC;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::VPCGatewayAttachment;AWS::EC2::InternetGateway;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::IAM::Role;AWS::EC2::NetworkAcl;AWS::EFS::FileSystem;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation,,AWS::KMS::Key;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::SNS::Topic;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::KMS::Alias,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::NetworkAcl;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EFS::FileSystem;AWS::EFS::MountTarget;AWS::EFS::MountTarget;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::KMS::Key;AWS::KMS::Alias;AWS::EC2::Instance;AWS::EC2::Instance;AWS::SNS::Topic;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm,"We need a CloudFormation template that creates a EFS file system with cross-AZ EC2 instances and performance monitoring which provides shared storage for applications requiring multi-AZ accessibility. The solution should also launch two EC2 instances in separate AZs with IAM roles granting EFS access and SSM permissions, automating EFS mounting via user data scripts that retry until mount targets are available. Configure CloudWatch alarms to monitor EFS I/O limits and throughput utilization, triggering alerts at 95% I/O limit and 80% throughput thresholds. Note to establish a VPC with public subnets, internet gateway, and network ACLs to support EFS and EC2 connectivity while enforcing security group rules for controlled NFS access. Use cfn-signal and CreationPolicies to ensure instances successfully mount EFS before stack completion, avoiding partial deployments.  "
5,31,True,5,31,46,26,5,20,83.87,56.52,83.87,26,31,False,False,False,Data\groud_truth\template\codedeploy.yaml,AWS::CodeDeploy::Application;AWS::RDS::DBInstance;AWS::EC2::RouteTable;AWS::RDS::DBSubnetGroup;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::IAM::InstanceProfile;AWS::CodeDeploy::DeploymentGroup;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroup;AWS::SSM::Parameter;AWS::EC2::Route;AWS::ElasticLoadBalancingV2::Listener;AWS::ElasticLoadBalancingV2::LoadBalancer;AWS::EC2::VPC;AWS::AutoScaling::AutoScalingGroup;AWS::EC2::VPCGatewayAttachment;AWS::EC2::InternetGateway;AWS::EC2::LaunchTemplate;AWS::IAM::Role;AWS::IAM::Role;AWS::S3::Bucket;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::ElasticLoadBalancingV2::TargetGroup,AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::NetworkAcl;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry,AWS::KMS::Key;AWS::EC2::RouteTable;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::S3::BucketPolicy;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::ElasticLoadBalancingV2::Listener;AWS::EC2::SecurityGroupEgress;AWS::EC2::SecurityGroupEgress;AWS::SecretsManager::Secret;AWS::KMS::Alias;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation,AWS::KMS::Key;AWS::KMS::Alias;AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::RouteTable;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroupEgress;AWS::ElasticLoadBalancingV2::LoadBalancer;AWS::ElasticLoadBalancingV2::TargetGroup;AWS::ElasticLoadBalancingV2::Listener;AWS::ElasticLoadBalancingV2::Listener;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroupEgress;AWS::EC2::SecurityGroup;AWS::RDS::DBSubnetGroup;AWS::SecretsManager::Secret;AWS::RDS::DBInstance;AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::SSM::Parameter;AWS::S3::Bucket;AWS::S3::BucketPolicy;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::EC2::VPCEndpoint;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::EC2::LaunchTemplate;AWS::AutoScaling::AutoScalingGroup;AWS::IAM::Role;AWS::CodeDeploy::Application;AWS::CodeDeploy::DeploymentGroup,"We need a CloudFormation template that creates an automated deployment pipeline for the Etherpad application using AWS CodeDeploy. The template should deploy Etherpad on EC2 instances within an Auto Scaling group across two subnets, fronted by an internet-facing Application Load Balancer for traffic distribution. It must provision a MySQL RDS instance for database storage and integrate AWS Systems Manager (SSM) for secure parameter storage. The solution should automate instance provisioning with a launch template that installs dependencies (Node.js, CodeDeploy agent) and signals CloudFormation upon readiness. An S3 bucket stores deployment artifacts, while CodeDeploy resources manage application updates. "
6,34,True,4,9,7,7,2,0,77.78,100.0,77.78,7,9,False,False,False,Data\groud_truth\template\RDS_PIOPS.yaml,AWS::RDS::DBSubnetGroup;AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::SecurityGroup;AWS::SecretsManager::Secret;AWS::RDS::DBInstance,AWS::EC2::VPCGatewayAttachment;AWS::EC2::InternetGateway,,AWS::EC2::VPC;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::RDS::DBSubnetGroup;AWS::EC2::SecurityGroup;AWS::SecretsManager::Secret;AWS::RDS::DBInstance,"We need a CloudFormation template that creates a MySQL RDS instance (db.r5.large) with Provisioned IOPS (io1 storage) within a VPC. The solution should deploy the database across two private subnets in different Availability Zones using a DB subnet group, with network isolation via a dedicated VPC and a security group restricting access to port 3306 for internal VPC traffic. "
7,50,True,5,26,28,21,5,7,80.77,75.0,,0,0,False,False,False,Data\groud_truth\template\url2png-loadtest.yaml,AWS::EC2::Instance;AWS::EC2::RouteTable;AWS::AutoScaling::ScalingPolicy;AWS::AutoScaling::ScalingPolicy;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::IAM::InstanceProfile;AWS::EC2::SecurityGroup;AWS::EC2::Route;AWS::EC2::VPC;AWS::AutoScaling::AutoScalingGroup;AWS::EC2::VPCGatewayAttachment;AWS::EC2::InternetGateway;AWS::EC2::LaunchTemplate;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::IAM::Role;AWS::S3::Bucket;AWS::SQS::Queue;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation,AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::SubnetNetworkAclAssociation;AWS::EC2::NetworkAcl;AWS::EC2::NetworkAclEntry;AWS::EC2::NetworkAclEntry,AWS::EC2::SecurityGroupIngress;AWS::KMS::Key;AWS::KMS::Key;AWS::S3::BucketPolicy;AWS::IAM::InstanceProfile;AWS::IAM::Role;AWS::SQS::Queue,AWS::EC2::VPC;AWS::EC2::InternetGateway;AWS::EC2::VPCGatewayAttachment;AWS::EC2::RouteTable;AWS::EC2::Route;AWS::EC2::Subnet;AWS::EC2::Subnet;AWS::EC2::SubnetRouteTableAssociation;AWS::EC2::SubnetRouteTableAssociation;AWS::KMS::Key;AWS::KMS::Key;AWS::SQS::Queue;AWS::SQS::Queue;AWS::S3::Bucket;AWS::S3::BucketPolicy;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::IAM::Role;AWS::IAM::InstanceProfile;AWS::EC2::SecurityGroup;AWS::EC2::SecurityGroupIngress;AWS::EC2::LaunchTemplate;AWS::AutoScaling::AutoScalingGroup;AWS::AutoScaling::ScalingPolicy;AWS::AutoScaling::ScalingPolicy;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm;AWS::EC2::Instance,"We need a CloudFormation template that creates a scalable URL-to-PNG screenshot service with automated load testing and S3/SQS integration, designed to dynamically process website screenshot requests and store results in a secure, distributed environment. The template should deploy an Auto Scaling group of EC2 instances (workers) across two Availability Zones, configured to consume messages from an SQS queue and generate screenshots using Chromium, saving outputs to an S3 bucket. It must include a load test instance that populates the queue with sample URL requests to simulate traffic, while CloudWatch alarms trigger scaling policies based on queue depth (scaling up/down between 1-2 instances). "
8,59,True,2,3,5,3,0,2,100.0,60.0,100.0,3,3,False,False,False,Data\groud_truth\template\kinesis-data-stream.yaml,AWS::Kinesis::Stream;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm,,AWS::SNS::Topic;AWS::KMS::Key,AWS::Kinesis::Stream;AWS::KMS::Key;AWS::SNS::Topic;AWS::CloudWatch::Alarm;AWS::CloudWatch::Alarm,We need a CloudFormation template that creates an Amazon Kinesis Data Stream for real-time data ingestion and processing and alerts for read and write throughput exceeding.
9,78,True,1,1,1,1,0,0,100.0,100.0,100.0,1,1,False,False,False,Data\groud_truth\template\ipam.yaml,AWS::EC2::IPAM,,,AWS::EC2::IPAM,"We need a CloudFormation template that creates an AWS EC2 IP Address Manager (IPAM) to manage IP address allocation. Note to export critical identifiers like the IPAM ARN, ID, and default public/private scope IDs as stack outputs for cross-stack references (e.g., linking to VPCs or subnet configurations in other templates)."
