check_id,check_title,count,label
AWS-0180,"""RDS Publicly Accessible""",148,"AWS-0180 – ""RDS Publicly Accessible"""
AWS-0133,Enable Performance Insights to detect potential problems,148,AWS-0133 – Enable Performance Insights to detect potential problem
AWS-0078,Performance Insights encryption should use Customer Managed Keys,147,AWS-0078 – Performance Insights encryption should use Customer Man
AWS-0176,"""RDS IAM Database Authentication Disabled""",146,"AWS-0176 – ""RDS IAM Database Authentication Disabled"""
AWS-0080,RDS encryption has not been enabled at a DB Instance level.,146,AWS-0080 – RDS encryption has not been enabled at a DB Instance le
AWS-0077,RDS Cluster and RDS instance should have backup retention longer than default 1 day,146,AWS-0077 – RDS Cluster and RDS instance should have backup retenti
AWS-0079,There is no encryption specified or encryption is disabled on the RDS Cluster.,146,AWS-0079 – There is no encryption specified or encryption is disab
AWS-0177,"""RDS Deletion Protection Disabled""",146,"AWS-0177 – ""RDS Deletion Protection Disabled"""
AWS-0343,"""RDS Cluster Deletion Protection Disabled""",146,"AWS-0343 – ""RDS Cluster Deletion Protection Disabled"""
AWS-0124,Missing description for security group rule.,58,AWS-0124 – Missing description for security group rule.
AWS-0131,Instance with unencrypted block device.,53,AWS-0131 – Instance with unencrypted block device.
AWS-0028,aws_instance should activate session tokens for Instance Metadata Service.,53,AWS-0028 – aws_instance should activate session tokens for Instanc
AWS-0102,An Network ACL rule allows ALL ports.,52,AWS-0102 – An Network ACL rule allows ALL ports.
AWS-0164,Instances in a subnet should not receive a public IP address by default.,48,AWS-0164 – Instances in a subnet should not receive a public IP ad
AWS-0130,aws_instance should activate session tokens for Instance Metadata Service.,45,AWS-0130 – aws_instance should activate session tokens for Instanc
AWS-0178,"VPC Flow Logs is a feature that enables you to capture information about the IP traffic going to and from network interfaces in your VPC. After you've created a flow log, you can view and retrieve its data in Amazon CloudWatch Logs. It is recommended that VPC Flow Logs be enabled for packet ""Rejects"" for VPCs.",45,AWS-0178 – VPC Flow Logs is a feature that enables you to capture 
AWS-0122,Ensure all data stored in the launch configuration EBS is securely encrypted,45,AWS-0122 – Ensure all data stored in the launch configuration EBS 
AWS-0107,Security groups should not allow unrestricted ingress to SSH or RDP from any IP address.,45,AWS-0107 – Security groups should not allow unrestricted ingress t
AWS-0105,Network ACLs should not allow unrestricted ingress to SSH or RDP from any IP address.,45,AWS-0105 – Network ACLs should not allow unrestricted ingress to S
AWS-0104,A security group rule should not allow unrestricted egress to any IP address.,45,AWS-0104 – A security group rule should not allow unrestricted egr
