row_number,prompt,ground_truth_path,final_template_path,success,failure_reason,error_message,failed_at_stage,total_iterations,highest_feedback_level,coverage_percentage,accuracy_percentage
0,We need a CloudFormation template that creates an AWS SQS queue with basic configuration.,../Data/groud_truth/template/sqs_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_0_update_2_template_20260301_113501.yaml,True,,,,2,simple,100.0,100.0
1,"We need a CloudFormation template that creates an AWS SNS with notification sending to email ""test@test.com"".",../Data/groud_truth/template/sns_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_1_update_1_template_20260301_113747.yaml,True,,,,1,,100.0,50.0
2,We need a CloudFormation template that creates an Amazon S3 bucket with defaults,../Data/groud_truth/template/s3_easy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_2_update_1_template_20260301_113827.yaml,True,,,,1,,100.0,100.0
3,We need a CloudFormation template that creates an Amazon S3 bucket for website hosting and with a DeletionPolicy,../Data/groud_truth/template/s3_webhost_and_deletion_policy.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_3_update_5_template_20260301_114511.yaml,True,,,,5,moderate,100.0,100.0
63,We need a CloudFormation template that creates an Amazon Aurora MySQL cluster with CloudWatch Logs integration. The template should deploy a multi-AZ Aurora cluster with two publicly accessible instances (`db.t3.large`) across two subnets. It must enable error log exports to CloudWatch for monitoring and troubleshooting.,../Data/groud_truth/template/rds_psql_export.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_63_update_18_template_20260301_125845.yaml,False,max_stage_error_attempts_exceeded,"[{'resource': 'SubnetIds', 'message': 'Default should have a length below or equal to MaxLength', 'line_number': 13, 'rule_description': 'Making sure the parameters have a default value inside AllowedValues, MinValue, MaxValue, AllowedPattern', 'documentation': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/parameters-section-structure.html'}]",syntax_validation,18,moderate,,
63,We need a CloudFormation template that creates an Amazon Aurora MySQL cluster with CloudWatch Logs integration. The template should deploy a multi-AZ Aurora cluster with two publicly accessible instances (`db.t3.large`) across two subnets. It must enable error log exports to CloudWatch for monitoring and troubleshooting.,../Data/groud_truth/template/rds_psql_export.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_63_update_21_template_20260301_140131.yaml,False,max_stage_error_attempts_exceeded,"[{'resource': 'DBSubnetIds', 'message': 'Default should have a length below or equal to MaxLength', 'line_number': 10, 'rule_description': 'Making sure the parameters have a default value inside AllowedValues, MinValue, MaxValue, AllowedPattern', 'documentation': 'https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/parameters-section-structure.html'}]",syntax_validation,21,moderate,,
64,"We need a CloudFormation template that creates a web application environment with a public-facing EC2 instance in a VPC. The template should deploy a VPC with public and private subnets, an internet gateway, and route tables to enable public internet access for the web server. It must provision an EC2 instance in the public subnet with Apache HTTP Server, PHP, and a sample inventory application pre-installed via user data scripts. ",../Data/groud_truth/template/arch6-lab3.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_64_update_12_template_20260301_142921.yaml,False,max_stage_error_attempts_exceeded,"[{'resource': 'WebServerEIP', 'message': ""'WebServer' dependency already enforced by a 'Ref' at 'Resources/WebServerEIP/Properties/InstanceId'"", 'line_number': 223, 'rule_description': 'Check if DependsOn is specified if not needed. A Ref or a Fn::GetAtt already is an implicit dependency.', 'documentation': 'https://aws.amazon.com/blogs/devops/optimize-aws-cloudformation-templates/'}]",syntax_validation,12,moderate,,
65,We need a CloudFormation template that creates a AWS Lambda function with a Node.js 20.x runtime that print hello world.,../Data/groud_truth/template/lambda_template.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_65_update_15_template_20260301_145654.yaml,False,max_stage_error_attempts_exceeded,"[{'resource': 'HelloWorldFunction', 'reason': 'Error while creating lambda: Docker not available'}, {'resource': 'validation-stack-f3a1b7db', 'reason': 'N/A'}, {'resource': 'validation-stack-f3a1b7db', 'reason': 'N/A'}]",deployment,15,moderate,,
66,"We need a CloudFormation template that creates a VPC with a single public subnet, internet gateway, and associated routing infrastructure, designed to enable internet accessibility for resources while providing foundational networking for demonstrations like CloudWatch EC2 auto-alarms.",../Data/groud_truth/template/create_vpc_example.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_66_update_1_template_20260301_145807.yaml,True,,,,1,,100.0,100.0
67,We need a CloudFormation template that creates an Amazon S3 bucket that can be made accessible to an entire AWS Organization or Organization Unit. It must also allow flexibility for single-account use (when no Organization ID is given) or enterprise-wide access.,../Data/groud_truth/template/cloudwatch-config-s3-bucket.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_67_update_1_template_20260301_145855.yaml,True,,,,1,,100.0,100.0
68,We need a CloudFormation template that creates an IAM role with AWS managed policy and instance profile for EC2 instances with permissions to integrate with Amazon CloudWatch and AWS Systems Manager (SSM) ,../Data/groud_truth/template/ssm-cloudwatch-instance-role.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_68_update_1_template_20260301_150127.yaml,True,,,,1,,100.0,100.0
69,"We need a CloudFormation template that creates a VPC, Security Group, S3 Bucket, and DynamoDB Table with deletion protection enabled.",../Data/groud_truth/template/s3_dynamodb.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_69_update_1_template_20260301_150329.yaml,True,,,,1,,80.0,100.0
70,"We need a CloudFormation template that creates a multi-AZ VPC with two public and two private subnets, route tables, and routes to the Internet.",../Data/groud_truth/template/base-network.yaml,llm_generated_data/template/iterative/deepseek/openrouter/qwen/qwen3-235b-a22b-thinking-2507/row_70_update_6_template_20260301_151532.yaml,True,,,,6,moderate,91.30434782608695,100.0
