dest_file,difficulty,n_resources,n_params,loc,user_prompt,leak_severity,leak_reasons,missing_essential_info,missing_reasons,difficulty_fit,assumes_external_dependency,external_dependency_reasons,stale_reference_risk,stale_reference_reasons,critical_defect,notes,scenario_id
iac_benchmark/scenarios/terrads_2b3dc3e26799,3,5,37,431,"We need a Terraform template that creates a flexible AWS KMS module for managing encryption keys, supporting the creation of a customer master key (CMK) with optional alias, grants, external key material import, and ciphertext encryption, where each resource is independently enabled or disabled via boolean flags, and the module accepts configurable parameters for key description, deletion window, key usage, key rotation, customer master key spec, and custom key policy, while the alias supports either a name or name prefix, grants allow specifying grantee principal, operations, retiring principal, constraints, and retire on delete behavior, external keys support importing key material with expiration and policy, and ciphertext encrypts a plaintext with the specified key and optional encryption context, all tagged with a configurable name and environment prefix, and outputs the key ARN, ID, alias ARN, grant ID, external key attributes, and ciphertext blob as needed.",none,,False,,appropriate,False,,False,,False,The prompt appropriately describes the module's capabilities without leaking Terraform identifiers or assuming external dependencies.,
iac_benchmark/scenarios/terrads_9db5ee8842eb,1,4,0,44,"We need a Terraform template that creates a VPC with CIDR 10.0.0.0/16, a subnet with CIDR 10.0.1.0/24, a security group named ""aws-sg"" that allows inbound SSH (port 22) from any IP and all outbound traffic, and an EC2 instance of type t2.micro using the latest Amazon Linux 2 AMI retrieved via the SSM parameter store, all deployed in the us-east-1 region.",none,,False,,appropriate,False,,False,,False,Prompt accurately describes the required resources without leaking Terraform identifiers.,
iac_benchmark/scenarios/terrads_4e8fd48d9810,2,6,8,138,"We need a Terraform template that creates a VPC for a Kubernetes cluster deployment, with the VPC CIDR block set to 10.0.0.0/16 and DNS hostnames enabled. The template should provision two private subnets with CIDRs 10.0.0.0/19 and 10.0.32.0/19 across us-east-1a and us-east-1b, and two public subnets with CIDRs 10.0.64.0/19 and 10.0.96.0/19 in the same availability zones, with public subnets configured to auto-assign public IPs on launch. All resources should be tagged with the environment name ""dev"" and cluster name ""Fast-App"" for identification purposes.",none,,False,,appropriate,False,,False,,False,Prompt correctly specifies all load-bearing details for a level 2 template; secondary infrastructure elements are left to inference.,
iac_benchmark/scenarios/terrads_037b2fe08aa0,3,5,43,547,"We need a Terraform template that creates an AWS Cognito user pool with configurable name, alias attributes, auto-verified attributes, MFA configuration, email/SMS verification messages, recovery mechanisms, invite message templates, device configuration, lambda triggers, schema attributes, software token MFA, username case sensitivity, and admin create user settings; it should also create multiple user pool clients from a list of names with configurable token validity, OAuth flows, scopes, identity providers, callback/logout URLs, and explicit auth flows; optionally create a custom domain with an ACM certificate and a Route53 A record pointing to the CloudFront distribution, and optionally create a user group with an IAM role and precedence; the template should be modular, reusable, and follow Terraform best practices, with all sensitive parameters (like secrets, ARNs) passed as variables.",none,,False,,appropriate,False,,False,,False,The prompt appropriately describes the required resources and configuration options without leaking Terraform-specific identifiers or assuming external dependencies.,
iac_benchmark/scenarios/gh_b7d56bc5,4,18,0,278,"We need a Terraform template that creates three IAM users named ""loadbalancer"", ""loadbalancer2"", and ""loadbalancer3"" in the ""eu-west-1"" region, each with a path of ""/system/"", and for each user, attach four IAM user policies that grant read-only EC2 describe access, then generate access keys for each user.",none,,False,,appropriate,False,,False,,False,The prompt accurately describes the required resources without leaking Terraform syntax or omitting essential details.,
iac_benchmark/scenarios/gh_75c55509,4,8,62,766,"We need a Terraform template that creates a comprehensive Route53 DNS management solution, including a hosted zone (public or private with VPC association), DNS records with support for alias, failover, geolocation, latency, weighted, and multivalue routing policies, health checks (HTTP, HTTPS, TCP, calculated, CloudWatch metric), a reusable delegation set, query logging to CloudWatch, VPC association authorization for cross-account setups, and DNSSEC via a key signing key using a KMS key, all controlled by boolean flags and configurable variables for naming, tags, and environment, with the hosted zone optionally forced to destroy records and supporting multiple VPC attachments.",none,,False,,appropriate,False,,False,,False,Prompt appropriately describes the required features without leaking Terraform specifics.,
iac_benchmark/scenarios/terrads_ba0c51a35dac,3,11,6,170,"We need a Terraform template that creates a VPC in the ap-south-1 region with CIDR 10.10.0.0/16, three subnets all in the same availability zone ap-south-1a, each tagged as ""ntier-web1"", ""ntier-app1"", and ""ntier-db1"" respectively, an internet gateway attached to the VPC, a public route table with a default route to the internet gateway associated only with the web subnet (index 0), a private route table associated with the app and db subnets (indexes 1 and 2), and a security group named ""openhttp"" that allows inbound HTTP and SSH traffic from anywhere, and outputs the VPC ID.",none,,False,,appropriate,False,,False,,False,The prompt captures the essential structure and load-bearing details without leaking Terraform identifiers.,
iac_benchmark/scenarios/gh_8159ec72,5,14,62,924,"We need a Terraform template that creates a modular AWS SES configuration supporting domain and email identities, email templates, receipt rules with multiple action types (add header, bounce, lambda, S3, SNS, stop, WorkMail), receipt rule sets, receipt filters, configuration sets with delivery options, event destinations with CloudWatch, Kinesis, or SNS targets, DKIM, MAIL FROM subdomain, identity policies, identity notification topics, and domain identity verification, where each component is conditionally created based on a boolean enable variable and uses default naming derived from a name and environment variable, and the template should output the ARN, ID, and other relevant attributes for each created resource.",none,,False,,appropriate,False,,False,,False,The prompt accurately captures the modular SES configuration requirements without leaking Terraform-specific identifiers or omitting load-bearing details.,
iac_benchmark/scenarios/gh_4e5f2e8f,2,3,22,239,"We need a Terraform template that creates an AWS X-Ray sampling rule, encryption config, and group for testing purposes, with each resource having a conditional flag to control its creation (defaulting to disabled) and names that default to a combination of a lowercase prefix based on the name and environment variables (defaulting to ""TEST"" and ""STAGE"" respectively), where the sampling rule uses a priority of 1000, version 1, reservoir size of 1, fixed rate of 0.05, and wildcard values for URL path, host, HTTP method, service type, service name, and resource ARN, the encryption config defaults to type ""NONE"", and the group requires a filter expression to be provided.",none,,False,,appropriate,False,,False,,False,"The prompt describes the required resources and their key parameters without leaking Terraform-specific syntax or identifiers, and includes all essential configuration details for a deployable stack.",
iac_benchmark/scenarios/terrads_c5fb6e784997,4,18,3,324,"We need a Terraform template that creates a fully functional Amazon EKS cluster in a custom VPC with two public subnets across different availability zones, an internet gateway, and route tables with default routes, along with a managed node group using an Amazon Linux 2 AMI sourced from the latest Amazon-provided image, all configured with the necessary IAM roles and policies for both the cluster control plane and the worker nodes, and a security group allowing inbound HTTPS, HTTP, and SSH traffic only from the VPC’s CIDR block, while enabling cluster control plane logging for all five log types and using a specified SSH key pair named “sre-key” for node remote access, with the environment, business division, and cluster name exposed as variables defaulting to “prod”, “hr”, and “eks-prod” respectively, and the entire deployment targeted for the us-east-1 region.",none,,False,,appropriate,False,,False,,False,The prompt captures all load-bearing details without leaking Terraform identifiers.,
